drug	BalabanJ	BertzCT	Chi0	Chi0n	Chi0v	Chi1	Chi1n	Chi1v	Chi2n	Chi2v	Chi3n	Chi3v	Chi4n	Chi4v	EState_VSA1	EState_VSA10	EState_VSA11	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA5	EState_VSA6	EState_VSA7	EState_VSA8	EState_VSA9	ExactMolWt	FpDensityMorgan1	FpDensityMorgan2	FpDensityMorgan3	FractionCSP3	HallKierAlpha	HeavyAtomCount	HeavyAtomMolWt	Ipc	Kappa1	Kappa2	Kappa3	LabuteASA	MaxAbsEStateIndex	MaxAbsPartialCharge	MaxEStateIndex	MaxPartialCharge	MinAbsEStateIndex	MinAbsPartialCharge	MinEStateIndex	MinPartialCharge	MolLogP	MolMR	MolWt	NHOHCount	NOCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAliphaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumAromaticRings	NumHAcceptors	NumHDonors	NumHeteroatoms	NumRadicalElectrons	NumRotatableBonds	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	NumValenceElectrons	PEOE_VSA1	PEOE_VSA10	PEOE_VSA11	PEOE_VSA12	PEOE_VSA13	PEOE_VSA14	PEOE_VSA2	PEOE_VSA3	PEOE_VSA4	PEOE_VSA5	PEOE_VSA6	PEOE_VSA7	PEOE_VSA8	PEOE_VSA9	RingCount	SMR_VSA1	SMR_VSA10	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	SMR_VSA8	SMR_VSA9	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	TPSA	VSA_EState1	VSA_EState10	VSA_EState2	VSA_EState3	VSA_EState4	VSA_EState5	VSA_EState6	VSA_EState7	VSA_EState8	VSA_EState9	fr_Al_COO	fr_Al_OH	fr_Al_OH_noTert	fr_ArN	fr_Ar_COO	fr_Ar_N	fr_Ar_NH	fr_Ar_OH	fr_COO	fr_COO2	fr_C_O	fr_C_O_noCOO	fr_C_S	fr_HOCCN	fr_Imine	fr_NH0	fr_NH1	fr_NH2	fr_N_O	fr_Ndealkylation1	fr_Ndealkylation2	fr_Nhpyrrole	fr_SH	fr_aldehyde	fr_alkyl_carbamate	fr_alkyl_halide	fr_allylic_oxid	fr_amide	fr_amidine	fr_aniline	fr_aryl_methyl	fr_azide	fr_azo	fr_barbitur	fr_benzene	fr_benzodiazepine	fr_bicyclic	fr_diazo	fr_dihydropyridine	fr_epoxide	fr_ester	fr_ether	fr_furan	fr_guanido	fr_halogen	fr_hdrzine	fr_hdrzone	fr_imidazole	fr_imide	fr_isocyan	fr_isothiocyan	fr_ketone	fr_ketone_Topliss	fr_lactam	fr_lactone	fr_methoxy	fr_morpholine	fr_nitrile	fr_nitro	fr_nitro_arom	fr_nitro_arom_nonortho	fr_nitroso	fr_oxazole	fr_oxime	fr_para_hydroxylation	fr_phenol	fr_phenol_noOrthoHbond	fr_phos_acid	fr_phos_ester	fr_piperdine	fr_piperzine	fr_priamide	fr_prisulfonamd	fr_pyridine	fr_quatN	fr_sulfide	fr_sulfonamd	fr_sulfone	fr_term_acetylene	fr_tetrazole	fr_thiazole	fr_thiocyan	fr_thiophene	fr_unbrch_alkane	fr_urea	qed
Wee1 Inhibitor	1.995973414220556	1273.2674905905792	17.99927104214099	13.26047680295392	14.016405748972376	12.541713895658196	7.963571734810293	8.341536207819521	6.214669131240697	6.621869257981303	4.714392118419322	5.043980339459366	3.637592239363702	3.8751256466290553	11.814359458703011	14.69560176298435	0.0	5.749511833283905	43.56558842707516	5.516700717616262	0.0	24.26546827384644	24.26546827384644	10.30076712495354	11.600939890232516	362.045819892	0.8461538461538461	1.6153846153846154	2.423076923076923	0.0	-3.31	26	351.6840000000001	1559882.844955393	14.984989823207805	5.094812711951877	1.9168036189385675	151.75544624808296	12.54363599143361	0.507941181828883	12.54363599143361	0.2591612612793966	0.0898722051824509	0.2591612612793966	-0.450790343915344	-0.507941181828883	4.230700000000002	99.71220000000004	362.7720000000001	3	5	0	1	1	3	1	4	3	3	6	0	1	0	0	0	126	10.090505915787915	5.749511833283905	0.0	0.0	11.814359458703011	0.0	14.905862972149976	0.0	0.0	0.0	29.800041095617345	35.89528683400505	32.39193466960044	11.126902983393991	5	14.69560176298435	45.22114921309764	0.0	10.30076712495354	0.0	0.0	0.0	64.6804728448282	0.0	16.876414816677897	5.316788604006331	0.0	5.749511833283905	11.600939890232516	21.904865374490925	0.0	0.0	20.715977351537635	48.53093654769288	5.022633313741326	32.93275284755611	0.0	82.19	0.0	6.335329166339868	28.313408997858403	14.018405251321015	3.349618501721678	-0.8087674080702574	13.903116601940406	0.0	0.0	0.0	0	0	0	0	0	1	1	1	0	0	2	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4430274051094067
Alpelisib	1.842963182390812	973.3197515033992	22.26722023457211	16.70835076642692	17.52484734735465	13.91372236358634	9.295453323723908	10.111949904651633	7.670010640510425	8.669081407273207	5.223706752668818	6.345642727512709	3.245381033513949	4.197812876890017	29.571424057677792	22.760319511168102	0.0	10.825486474687793	35.52092633201135	25.184260277315985	17.163120370925164	12.990104268152232	0.0	15.284745645900747	5.733667477162185	441.144630604	1.3333333333333333	2.033333333333333	2.6666666666666665	0.4736842105263157	-2.689999999999999	30	419.3030000000001	3799474.5268903	22.005526275262465	7.858788055820341	4.112286896576829	175.04592562238938	13.381654532874112	0.3989054885082493	13.381654532874112	0.3989054885082493	0.1043960147062594	0.3678808317004831	-4.451192115535532	-0.3678808317004831	3.835020000000002	107.10410000000005	441.4790000000001	3	7	0	1	1	0	2	2	5	2	11	0	4	0	1	1	162	10.633577208012664	11.45683129854474	5.131558479839333	5.907179729351506	0.0	12.207413029781549	15.095304309025362	9.77851570501903	13.17124514302446	0.0	11.336785877934735	51.3090404735441	12.741599977525652	16.26500318339822	3	22.760319511168102	28.406638599463648	0.0	14.867866772744891	5.733667477162185	51.24598466091211	11.861545009918906	29.71743369823322	0.0	10.440598685398296	11.050456081168516	23.097340806935613	0.0	11.336785877934735	45.56905676693849	10.2095276534686	6.923737199690624	38.07697363493019	18.32957770853629	0.0	10.440598685398296	0.0	101.21	40.14496359862234	1.1412407879818591	34.23242920885794	2.9478317113882597	4.218188579388371	-0.5599512835490048	1.858883521152364	-1.9284744647379053	4.278221674229122	0.0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	3	1	1	0	0	1	0	0	0	0	3	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0.7528280893178394
Paclitaxel	1.3874476640402011	2280.346269552866	44.94021786308	35.2327485165234	35.2327485165234	29.272289927176125	20.472849958329043	20.472849958329043	17.3540403012464	17.3540403012464	13.479855154842255	13.479855154842255	10.182540514539149	10.182540514539149	112.60409521300996	39.29226810488122	4.794537184071822	35.30081563097145	5.563451491696996	13.847474399381248	25.980208536304467	92.7102462893822	0.0	5.316788604006331	23.684314769000245	853.3309553120001	0.8225806451612904	1.403225806451613	1.9516129032258065	0.4468085106382978	-5.739999999999999	62	802.5100000000001	19536342594936.66	44.3203576455078	16.512845507693864	7.294407711419627	357.8854073908183	15.48379501966039	0.4557369238936237	15.48379501966039	0.338014232853755	0.002885343980707	0.338014232853755	-2.3909581468254903	-0.4557369238936237	3.735700000000004	217.69009999999943	853.9180000000003	4	15	3	1	4	3	0	3	14	4	15	0	10	2	1	3	328	44.32068555752869	23.9129499742286	23.592228532845237	0.0	5.907179729351506	23.8772211518074	19.178148736287287	9.589074368143644	0.0	0.0	80.57751215245897	54.82260322506322	37.667559606327046	35.64903718866435	7	67.77112005795328	35.56764582752384	0.0	5.316788604006331	16.747886984954953	108.2518072216009	6.606881964512918	118.83206956215372	0.0	0.0	5.316788604006331	0.0	0.0	0.0	105.3200099250161	42.86246350528753	16.747886984954953	86.70533611637833	102.14171508706272	0.0	0.0	0.0	221.29	30.27238288139994	0.0	83.45331184567333	40.233952430571534	-7.019085032825359	-6.841158827712652	22.937711636968988	-10.511556872841576	7.974441938765803	0.0	0	3	2	0	0	0	0	0	0	0	6	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	5	0	0	0	4	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129786194451245
Nilotinib	1.4060685117390257	1649.0608196010155	27.570338854006447	20.861113455646095	20.861113455646095	18.65201824662974	11.813083399639352	11.813083399639352	8.804654339776183	8.804654339776183	5.871916984100434	5.871916984100434	3.874101579850152	3.874101579850152	17.646929738491977	17.96578232709628	0.0	16.93822404106412	23.02358154536698	23.25963712031721	16.960786791017505	62.04294682845097	12.990104268152232	30.56949129180149	0.0	529.1837929840002	0.9743589743589745	1.8205128205128205	2.5384615384615383	0.1071428571428571	-5.059999999999999	39	507.3500000000003	649397948.0826293	25.58376013065048	10.364741922338526	5.926969544026141	221.17512490877365	13.609165039738006	0.4160618842003391	13.609165039738006	0.4160618842003391	0.0011413612493087	0.323896903899683	-4.600782253685411	-0.323896903899683	6.355840000000004	140.98089999999982	529.5260000000002	2	8	0	0	0	2	3	5	7	2	11	0	6	0	0	0	196	15.200676855804016	0.0	0.0	5.948339280986494	5.907179729351506	6.176298517443475	9.77851570501903	14.951935562841626	13.17124514302446	0.0	6.06636706846161	67.94186243877112	52.97643609389698	23.278627556158455	5	17.96578232709628	23.23029155970513	0.0	24.503013731580182	0.0	20.02377291682472	10.633577208012662	108.0962804473108	0.0	16.944765761229018	10.633577208012662	30.49435697337808	0.0	0.0	30.41019346093169	6.176298517443475	13.847474399381248	27.17881965401127	85.71199797737135	0.0	16.944765761229018	0.0	97.62	42.29352351773952	0.0	30.05829418324779	5.71194082014574	3.092237674134436	-0.2589609857675812	13.721743835870704	3.3840494159740344	3.5805048719886825	0.0	0	0	0	0	0	5	0	0	0	0	1	1	0	0	0	5	2	0	0	0	0	0	0	0	0	3	0	1	0	3	2	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.2658598216325421
AZD7762	1.873791488572602	786.7050780593262	17.81119030894213	13.47258835347439	14.289084934402116	12.024877143252588	8.005149922971784	8.82164650389951	5.8697856164951645	6.921984457818407	3.937403578922988	5.120302926324938	2.795245010237219	3.808289456275443	6.031114512338072	13.979489415818463	0.0	17.76624139954536	27.54988855969573	19.386399651764595	23.46952001485796	18.19910120538483	0.0	15.950365812018994	5.733667477162185	362.1212750680001	1.32	2.16	2.84	0.2941176470588235	-2.45	25	343.2780000000001	569108.0228012172	17.37553166777971	7.623858436251915	4.3427465032868	148.15568109407016	13.466531299972408	0.3513695415614687	13.466531299972408	0.3161660047169683	0.0438868417737461	0.3161660047169683	-0.7528006634752666	-0.3513695415614687	2.5266	96.27700000000002	362.43000000000006	5	6	0	1	1	1	1	2	4	4	8	0	4	0	1	1	132	21.68403328918118	10.694368034747194	0.0	0.0	5.907179729351506	6.031114512338072	4.794537184071822	9.184952231746642	0.0	11.336785877934735	12.13273413692322	43.14895234884642	17.463744428761835	5.687386274683562	3	13.979489415818463	28.962466394307874	0.0	10.633577208012662	5.733667477162185	18.88348407499998	18.40630141583148	41.026203377055246	0.0	10.440598685398296	21.68403328918118	14.872338506430204	0.0	11.336785877934735	31.06964788266269	0.0	5.817220841045895	22.513327623625138	30.33183534230805	0.0	10.440598685398296	0.0	96.25	13.466531299972408	1.1905815381708234	24.90626142376142	8.67617244995131	6.169314024035796	-0.6391712747362994	7.002338611993471	1.8985839828227995	1.6627212773616022	0.0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0.672858689598005
Irinotecan	1.1632844241317215	1685.1199554438624	29.879739930764952	24.85644893119234	24.85644893119234	20.817048796132664	15.654706358893751	15.654706358893751	12.235910395889263	12.235910395889263	9.965617272105147	9.965617272105147	7.470643971301108	7.470643971301108	11.570356098935536	19.49013894705617	0.0	24.680210553429347	60.361202476186506	34.871471161327065	32.35197768060318	23.6235709844052	17.0326438677737	11.823646930541102	14.457704428547306	586.2791349360001	1.069767441860465	1.837209302325581	2.558139534883721	0.5151515151515151	-3.76	43	548.3850000000002	8813764337.667715	28.03622737090953	10.749003948713428	4.53453316673796	249.75556271695103	13.581172940208688	0.4581977281257881	13.581172940208688	0.4147281886749819	0.0951330290594061	0.4147281886749819	-1.8639737475502376	-0.4581977281257881	4.091100000000004	159.94579999999965	586.689	1	10	0	4	4	1	2	3	9	1	10	0	4	0	2	2	226	28.94717241193312	12.356393797796825	5.601050810983688	0.0	5.559266895052007	12.062545358890263	4.794537184071822	14.573052889090851	0.0	0.0	20.268296022307258	81.44336231492464	35.644480838831896	29.01276460492276	7	24.169327670584444	22.96547029097132	0.0	19.35089763043952	0.0	83.58775577042047	26.1790256236503	56.87307831975825	0.0	17.137367822980828	10.296129848852056	4.794537184071822	5.749511833283905	0.0	68.74083683696874	34.704910942207064	0.0	74.6262101037253	29.060005457918265	0.0	22.29078092177798	0.0	114.2	12.71627037112628	0.0	48.53387816811252	12.0353838864164	2.384835639434715	-0.2655996048981432	7.767862197184429	6.2615517480893415	7.649150927867792	0.0	0	1	0	0	0	2	0	0	0	0	2	2	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	5	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0.3559555692291828
OSI-027	1.6269983750467676	1252.5842500793906	20.82769816688718	16.499793836690717	16.499793836690717	14.562881945713372	9.944920917607732	9.944920917607732	7.718597144637948	7.718597144637948	6.020585655284616	6.020585655284616	4.45387015716394	4.45387015716394	5.969305287951849	9.901064578912528	0.0	11.835812092322788	29.87013473615177	41.01241250406537	6.3273200747645415	11.625195434893156	24.26546827384644	15.066638850195456	15.454508951909444	406.175338564	1.3	2.1	2.833333333333333	0.3333333333333333	-3.620000000000001	30	384.2700000000002	12927388.874922303	18.41121661499869	7.012898152223572	2.8501290322194306	171.4477777251701	11.308868112312098	0.4945570807439416	11.308868112312098	0.3059879425584357	0.1204300516502896	0.3059879425584357	-0.7215668559044623	-0.4945570807439416	3.2218	111.37390000000003	406.44600000000025	4	9	1	0	1	1	3	4	7	3	9	0	4	1	0	1	154	20.561036346750143	29.1118651185131	5.817862777835028	0.0	0.0	5.969305287951849	4.794537184071822	14.48335493551004	5.098681808301038	0.0	12.13273413692322	37.81602062862726	11.304130260626188	24.238332299903647	5	14.637927532712576	28.2067937154842	0.0	24.566015264758285	5.917906046161393	31.60119253786543	12.84346501843972	36.41719284661091	0.0	17.137367822980828	10.470530430962237	5.817862777835028	5.749511833283905	0.0	42.75164548882837	4.794537184071822	5.917906046161393	37.42559703586536	30.59278834861098	0.0	27.80748163939424	0.0	131.42	7.219523366403292	0.0	23.798305575135203	14.712927556142258	9.243463001311126	1.0087421765215503	7.85452614365722	4.191578350067708	0.0	1.6376004974283085	1	0	0	1	0	5	1	0	1	1	1	0	0	0	0	4	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.473974464339548
Cisplatin	-1.9999999750000003e-08	7.609640474436813	2.7071067811865475	2.4863702744083875	6.270436221537415	1.4142135623730951	0.2390457218668787	5.87002068626192	0.0451753951452625	3.3279889128543734	0.0	0.0	0.0	0.0	16.480761349283352	0.0	0.0	12.301092700636076	0.0	0.0	0.0	0.0	0.0	0.0	18.83627552425153	298.955594652	1.0	1.0	1.0	0.0	1.1883116883116884	5	293.99800000000005	2.754887502163468	16.387124535446056	19.005779483220508	37.34967810713577	47.77195657448089	4.875	0.0	4.875	0.0	0.0	0.0	-0.4722222222222221	0.0	1.7004999999999997	21.750200000000007	300.04600000000005	6	2	0	0	0	0	0	0	2	2	5	0	0	0	0	0	40	12.301092700636076	0.0	0.0	0.0	0.0	35.31703687353488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	16.480761349283352	18.83627552425153	0.0	12.301092700636076	0.0	0.0	0.0	0.0	0.0	0.0	12.301092700636076	0.0	0.0	18.83627552425153	0.0	16.480761349283352	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	-0.4722222222222221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7146141427583609
ZM447439	1.2400931203989165	1359.0269198307765	26.15827900274648	21.352584646936663	21.352584646936663	18.691004483450637	12.685692148937015	12.685692148937015	8.921020250549137	8.921020250549137	6.3421717426952	6.3421717426952	4.297425462450116	4.297425462450116	0.0	4.794537184071822	0.0	5.907179729351506	35.17460617529631	55.85916597645418	6.3273200747645415	19.242531678200752	54.59730361615449	25.50144398075756	14.210588861400147	513.2376044719999	0.9736842105263158	1.736842105263158	2.5	0.2758620689655172	-4.209999999999999	38	482.3500000000004	622673716.183252	25.44000786718373	12.354655799310724	6.3688245767845775	221.30691572727736	12.407452791852872	0.4928417565384015	12.407452791852872	0.2551576401155064	0.1534103268389763	0.2551576401155064	-0.1534103268389763	-0.4928417565384015	4.735400000000004	147.5808999999998	513.5980000000004	2	9	0	1	1	3	1	4	8	2	9	0	10	0	1	1	196	24.844166069412807	12.14518285259957	11.49902366656781	0.0	5.907179729351506	0.0	9.6944469149223	9.967957041894415	0.0	0.0	18.19910120538483	48.885391102157286	48.02508454172824	32.44714415243255	5	19.005126045471968	34.002739988634715	0.0	14.867866772744897	0.0	6.4208216229260096	57.19828986056667	78.62080931953926	0.0	11.49902366656781	20.10730311561276	17.19263532720215	11.49902366656781	0.0	67.3397591546504	4.736862953800049	0.0	16.77881029869483	73.05735782784225	0.0	10.902924932081056	0.0	97.84000000000002	17.08929651160988	0.0	23.677146437025403	7.062863011262303	2.8832622123368976	1.7762853987226368	20.354243118317104	2.4378674181959314	5.092927016980098	1.626108875549747	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	3	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.2937505312088908
Ruxolitinib	1.701320839413269	849.2211356700518	15.648053602125598	12.81305376775991	12.81305376775991	11.364504642955708	8.061480309016526	8.061480309016526	6.145373004065924	6.145373004065924	4.813106787001564	4.813106787001564	3.6560096957460417	3.6560096957460417	0.0	5.261891554738487	0.0	6.041840829147961	12.338727669087405	22.29078092177798	25.68328649170404	6.3273200747645415	29.338700718446024	26.119838683934933	0.0	306.15929457600004	1.3478260869565215	2.217391304347826	3.0434782608695654	0.4117647058823529	-2.68	23	288.229	488454.5731461632	13.947001756455784	5.840473735712772	2.482270158107101	133.7321371402767	9.179872779971085	0.3460346639443202	9.179872779971085	0.1408056299073117	0.1664840797430076	0.1408056299073117	0.1664840797430076	-0.3460346639443202	3.466380000000002	86.33470000000004	306.37300000000005	1	6	1	0	1	0	3	3	5	1	6	0	4	1	0	1	116	4.9839785209472085	11.97449729553227	0.0	0.0	0.0	0.0	4.681802935145185	9.967957041894415	10.360573363039524	0.0	12.84164324585202	24.82591636047502	23.343362849387944	30.422655331327785	4	0.0	11.033401435232523	5.261891554738487	24.73242030628785	5.917906046161393	38.14594894377801	0.0	30.984217858065374	0.0	17.32660079933773	0.0	0.0	0.0	0.0	24.73242030628785	0.0	17.249018913692154	38.14594894377801	30.984217858065374	0.0	22.29078092177798	0.0	83.17999999999999	1.9673970143613	0.0	11.743828163011964	14.712614260822685	2.6756334246661635	0.5556265747039556	4.470636705299404	12.707597190467862	0.0	0.0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7996787783250496
MK-2206	1.586197899210393	1478.2307639979133	21.001424753254117	16.87676291998852	16.87676291998852	15.121941584798403	10.481155281946975	10.481155281946975	8.308513069777103	8.308513069777103	6.442642630790135	6.442642630790135	4.476000776751793	4.476000776751793	0.0	4.794537184071822	0.0	11.22866865058682	5.647177220767728	46.12885064787252	16.3849677208848	6.196843571613076	24.26546827384644	52.66193309583335	10.717645998109392	407.17461029200007	0.967741935483871	1.7419354838709675	2.4516129032258065	0.16	-3.77	31	386.30900000000014	22021302.87931128	18.035309996054	6.617690246209264	2.794770804499503	177.9281640709305	12.02243652495595	0.3472251170747484	12.02243652495595	0.3472251170747484	0.1841048464716288	0.3213982885408734	-0.2596902551107374	-0.3213982885408734	4.242700000000003	121.70210000000002	407.4770000000001	3	6	1	0	1	2	3	5	5	2	6	0	3	1	0	1	152	5.733667477162185	0.0	5.647177220767728	0.0	0.0	5.689743398203474	0.0	19.27789211958186	5.098681808301038	0.0	54.59730361615449	42.52210198909524	28.24889602185521	11.210628712464722	6	0.0	16.550102152848783	0.0	19.58203674381108	5.733667477162185	24.80139012116137	0.0	88.97461339866311	0.0	22.384282469939446	11.423410875365658	0.0	0.0	0.0	19.58203674381108	5.538925252383345	0.0	24.825916360475023	77.72141850876262	0.0	38.93438462278824	0.0	89.07000000000001	1.5065152036330858	0.0	17.029102246800242	7.562115473374249	12.598648783685466	0.0	22.58391280980977	4.9697054826971785	0.0	0.0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0.4680681321504015
Axitinib	1.6025368729960088	1151.6453529302132	19.34672421487486	15.216477271392783	16.032973852320506	13.741514740667451	8.806134596712877	9.622631177640605	6.081519320272575	7.196874391922986	4.250081169716609	5.315626492913237	2.854167114298509	3.838264954770116	0.0	4.794537184071822	0.0	5.907179729351506	5.563451491696996	32.08174787281353	0.0	25.00640050368138	72.81571089828387	20.498130741555613	0.0	386.120132196	1.0714285714285714	1.9285714285714288	2.75	0.0454545454545454	-3.3799999999999994	28	368.3360000000001	4402971.945665744	18.00530517350135	8.102901424896904	3.818583505931169	166.44882574909147	12.075732222704954	0.3550767051016171	12.075732222704954	0.2516719457749406	0.0901266482653497	0.2516719457749406	-0.0901266482653497	-0.3550767051016171	4.639100000000004	113.21390000000004	386.48	2	5	0	0	0	2	2	4	4	2	6	0	5	0	0	0	138	5.316788604006331	0.0	0.0	0.0	5.907179729351506	0.0	14.877197513320066	0.0	5.098681808301038	0.0	29.960986154775945	54.61660969289903	28.421706719790613	22.468008199010185	4	4.794537184071822	40.72402982449144	0.0	20.498130741555613	0.0	9.79096695103555	7.04767198267719	83.8118217376231	0.0	0.0	5.316788604006331	0.0	0.0	11.761884949391115	28.136193849577975	0.0	0.0	21.74584466546574	76.65148120726474	0.0	23.054965145748817	0.0	70.67	0.0	1.5556120798360151	18.311518456275135	11.214342697794828	3.3623922422988297	-0.0901266482653497	19.511671415368927	5.661925215311343	0.0	1.6393312080469369	0	0	0	0	0	3	1	0	0	0	1	1	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.5241908173512972
Sorafenib	1.6244376001208214	1137.8789445127009	23.30275414050485	16.45731905082472	17.213247996843176	15.151216908830303	9.062991028319598	9.440955501328828	6.353856509713334	6.76105663645394	4.068618814162425	4.398207035202471	2.582987740833953	2.80767914937068	22.793497835219867	22.760319511168102	0.0	17.288493998883528	17.186409941251373	12.13273413692322	25.37724969121349	30.33183534230805	0.0	20.9343443329662	16.337802844032566	464.086302712	0.9375	1.59375	2.25	0.0952380952380952	-3.789999999999999	32	448.7030000000001	9882757.49084646	22.88541114877092	9.563603314484585	5.883370444382855	185.11105638623687	12.93887738071883	0.457236902294498	12.93887738071883	0.4174184276868063	0.0659389232541769	0.4174184276868063	-4.641864625107676	-0.457236902294498	5.549700000000002	113.23860000000003	464.8310000000001	3	7	0	0	0	2	1	3	4	3	11	0	5	0	0	0	166	20.68722876581904	17.19295166141627	0.0	0.0	5.907179729351506	12.207413029781549	9.77851570501903	4.794537184071822	13.17124514302446	0.0	11.600939890232516	48.53093654769288	30.685655172119	10.586084805438322	3	27.497182464968155	34.914006681289216	0.0	10.30076712495354	0.0	6.176298517443475	17.68124919068985	77.07415998805436	0.0	11.49902366656781	20.68722876581904	29.340554876463408	11.49902366656781	11.600939890232516	23.96994474531397	6.176298517443475	0.0	16.051916670617278	60.79414718776757	5.022633313741326	0.0	0.0	92.35	44.47480425652903	5.568014615436455	27.704457020430112	6.826069682816982	-0.5468369560238568	0.4600431322299272	11.597059144995193	-3.210188320537026	0.0	1.4876885352342903	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	1	3	0	0	0	0	0	0	0	0	3	0	3	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0.4613395020059932
