cell,drug1_db,drug2_db,synergy,synergistic
67,32,1,0,0
68,32,37,0,0
58,55,53,0,0
60,35,43,0,0
51,17,15,0,0
67,10,20,0,0
70,10,40,0,0
88,62,29,0,0
40,53,2,0,0
13,35,13,0,0
108,44,54,0,0
50,18,51,0,0
54,20,38,0,0
43,38,29,0,0
79,20,41,0,0
16,32,39,0,0
62,44,18,1,1
10,17,41,0,0
10,50,43,0,0
41,2,26,0,0
73,2,18,0,0
32,25,44,0,0
10,55,41,0,0
118,56,51,0,0
86,18,34,0,0
27,45,18,0,0
22,15,18,0,0
93,53,29,0,0
43,22,48,0,0
88,31,22,0,0
78,3,13,0,0
63,54,19,0,0
7,13,57,0,0
1,20,30,0,0
84,34,17,0,0
10,37,11,0,0
79,43,0,0,0
0,43,23,0,0
17,43,44,0,0
20,20,17,0,0
55,47,20,0,0
119,17,29,0,0
32,45,22,0,0
73,38,9,0,0
33,21,14,0,0
124,15,25,0,0
75,19,44,0,0
66,54,44,0,0
92,23,29,0,0
22,51,5,0,0
86,31,34,0,0
106,51,17,0,0
72,1,36,0,0
99,30,3,0,0
33,1,29,0,0
113,20,8,0,0
65,20,44,0,0
103,10,20,0,0
78,31,32,0,0
105,17,5,0,0
81,17,57,0,0
73,18,33,0,0
70,51,37,0,0
118,17,47,0,0
57,44,47,0,0
99,31,18,0,0
17,3,44,0,0
43,55,43,0,0
56,29,50,0,0
116,56,2,0,0
3,31,39,0,0
46,22,26,0,0
84,47,29,0,0
65,28,38,0,0
121,3,20,0,0
83,12,51,0,0
24,11,39,0,0
107,50,26,0,0
68,18,14,0,0
96,21,1,0,0
54,21,48,0,0
1,51,60,0,0
97,2,58,0,0
48,11,40,0,0
45,18,21,0,0
59,32,18,0,0
27,8,17,0,0
123,3,13,0,0
67,20,38,0,0
16,55,37,0,0
8,5,53,0,0
31,29,38,0,0
58,19,51,0,0
101,51,27,0,0
10,3,49,0,0
4,17,2,0,0
119,26,22,1,1
17,22,15,0,0
56,43,55,0,0
99,37,42,0,0
122,17,18,0,0
9,50,31,0,0
14,35,32,0,0
31,29,57,0,0
78,31,21,0,0
69,44,47,0,0
74,53,22,0,0
49,58,59,0,0
3,21,29,0,0
109,17,2,0,0
70,32,12,0,0
17,50,38,1,1
87,35,30,0,0
79,2,3,0,0
89,50,12,0,0
117,18,47,0,0
16,35,3,0,0
83,51,5,0,0
70,30,9,0,0
15,54,20,0,0
86,3,9,0,0
3,10,55,0,0
50,44,47,0,0
76,37,44,0,0
110,19,22,0,0
15,58,27,0,0
34,19,59,0,0
33,11,38,0,0
11,55,14,0,0
15,16,13,0,0
93,5,34,0,0
99,2,22,0,0
35,32,18,0,0
34,51,44,0,0
71,20,53,0,0
62,55,6,0,0
70,21,32,0,0
27,38,54,0,0
44,37,22,0,0
50,50,25,0,0
36,13,47,0,0
39,45,25,0,0
99,11,52,0,0
99,20,46,0,0
123,51,27,0,0
68,44,43,0,0
13,8,13,1,1
77,22,60,0,0
102,37,0,0,0
45,43,3,0,0
38,51,30,0,0
44,20,43,0,0
48,56,34,0,0
17,2,29,0,0
43,51,46,0,0
117,28,21,0,0
4,17,18,0,0
13,28,54,0,0
96,32,18,0,0
0,17,47,0,0
90,3,50,0,0
49,17,29,0,0
77,37,29,0,0
122,54,17,0,0
33,35,10,0,0
87,11,10,0,0
80,16,57,0,0
97,20,53,0,0
1,11,13,0,0
68,29,15,0,0
103,22,17,0,0
55,5,50,0,0
6,19,27,0,0
21,54,38,0,0
87,11,60,0,0
38,22,46,0,0
0,2,43,0,0
58,21,51,1,1
63,19,57,0,0
41,2,12,0,0
31,3,16,0,0
31,27,23,0,0
18,13,34,0,0
70,22,51,0,0
94,44,51,1,1
88,22,50,0,0
114,58,16,0,0
109,54,23,0,0
65,56,18,1,1
76,32,1,0,0
99,30,4,1,1
83,50,2,0,0
44,56,33,0,0
81,55,51,0,0
63,58,50,0,0
71,56,26,0,0
79,50,36,0,0
13,35,47,0,0
1,44,46,0,0
43,10,42,0,0
44,20,12,0,0
77,18,32,0,0
35,3,58,0,0
57,44,7,0,0
52,29,37,0,0
16,20,10,0,0
103,51,33,0,0
98,29,11,0,0
122,35,25,0,0
97,23,44,0,0
46,21,20,0,0
110,35,44,0,0
67,43,23,0,0
115,50,54,0,0
80,54,17,0,0
50,15,17,0,0
61,2,20,0,0
74,25,38,1,1
102,30,60,0,0
33,37,9,0,0
45,29,50,0,0
116,20,2,0,0
103,55,32,0,0
4,43,0,0,0
11,35,6,0,0
10,22,33,0,0
48,10,12,0,0
78,12,41,0,0
90,31,58,0,0
54,20,14,0,0
70,10,22,0,0
79,35,2,0,0
24,3,26,0,0
103,29,14,0,0
43,17,18,1,1
59,31,50,0,0
91,56,25,0,0
45,20,35,0,0
96,3,60,0,0
38,44,17,0,0
116,18,21,0,0
60,18,48,1,1
109,55,31,0,0
78,11,12,0,0
72,43,61,0,0
98,50,40,0,0
63,16,2,0,0
62,17,2,0,0
72,30,18,0,0
106,29,45,0,0
89,2,21,0,0
58,55,31,0,0
108,3,20,0,0
115,38,22,0,0
88,27,38,0,0
4,29,3,1,1
110,51,38,0,0
38,35,0,0,0
89,56,44,0,0
110,56,50,0,0
35,10,30,0,0
116,50,0,0,0
16,30,4,0,0
26,31,34,0,0
60,30,24,0,0
59,29,33,0,0
71,5,44,0,0
61,38,20,0,0
20,26,51,0,0
89,29,35,1,1
70,17,34,1,1
68,29,36,0,0
10,3,4,0,0
67,30,3,1,1
92,44,35,0,0
64,1,20,0,0
99,51,7,0,0
73,18,47,0,0
28,2,51,0,0
100,55,16,0,0
75,13,16,0,0
57,44,33,0,0
73,35,30,0,0
32,8,17,0,0
47,32,40,0,0
71,5,38,0,0
16,22,2,0,0
118,38,54,0,0
28,50,31,0,0
48,18,44,0,0
103,2,46,0,0
1,20,17,0,0
93,54,8,0,0
51,18,35,0,0
17,43,22,0,0
82,50,56,0,0
87,1,41,0,0
64,1,55,0,0
5,55,51,0,0
8,15,45,0,0
110,55,27,0,0
77,43,50,0,0
21,51,35,0,0
27,29,35,0,0
37,18,56,0,0
86,11,43,0,0
121,44,27,1,1
68,43,41,0,0
1,18,55,0,0
2,18,8,0,0
23,8,56,0,0
83,31,11,0,0
26,31,46,0,0
85,50,53,0,0
77,55,5,0,0
38,10,9,0,0
103,55,7,0,0
76,1,35,0,0
69,21,54,0,0
24,44,52,0,0
19,5,15,0,0
73,56,14,0,0
111,28,26,0,0
103,38,32,0,0
72,20,5,0,0
90,19,22,0,0
30,22,61,0,0
119,28,26,0,0
61,18,58,0,0
14,38,37,0,0
116,12,29,0,0
34,59,29,0,0
15,35,59,0,0
13,13,35,0,0
34,20,2,0,0
61,30,14,0,0
3,43,32,0,0
6,27,20,1,1
108,2,31,0,0
61,10,17,0,0
98,44,4,0,0
54,55,21,0,0
56,31,56,0,0
28,31,34,0,0
69,50,25,0,0
45,29,14,0,0
86,22,26,0,0
3,30,49,0,0
75,62,50,1,1
90,17,2,0,0
13,38,44,1,1
76,37,24,0,0
78,18,31,0,0
42,26,8,0,0
74,13,50,0,0
83,2,46,0,0
83,3,34,0,0
11,20,52,0,0
41,44,41,0,0
116,51,26,0,0
30,37,38,0,0
113,51,45,0,0
116,21,42,0,0
44,51,30,0,0
113,38,35,0,0
115,51,25,0,0
97,35,19,0,0
56,30,17,0,0
45,3,15,0,0
30,37,49,0,0
88,58,17,0,0
32,51,28,0,0
103,38,30,0,0
35,1,36,0,0
35,12,39,0,0
27,18,54,0,0
111,44,53,0,0
83,51,39,0,0
4,44,23,0,0
70,11,36,0,0
79,44,46,0,0
98,3,4,0,0
24,56,5,0,0
34,13,35,0,0
65,56,29,0,0
33,31,0,0,0
2,53,44,0,0
47,21,2,0,0
83,22,43,0,0
22,54,13,0,0
99,11,17,0,0
33,31,17,0,0
0,22,23,0,0
2,29,47,0,0
33,51,41,0,0
99,22,35,0,0
58,58,56,0,0
97,56,2,0,0
29,32,50,0,0
40,29,13,0,0
47,17,22,0,0
99,11,0,0,0
98,11,60,0,0
38,44,14,0,0
60,17,42,0,0
0,17,18,0,0
70,20,33,0,0
103,35,18,0,0
79,3,20,0,0
31,17,29,0,0
52,50,61,0,0
66,28,34,0,0
12,22,55,0,0
47,50,23,0,0
102,31,22,0,0
43,21,56,0,0
83,1,10,0,0
114,57,19,0,0
88,38,19,0,0
26,3,9,1,1
79,30,36,0,0
97,62,20,0,0
14,44,10,0,0
107,13,17,0,0
5,22,44,0,0
60,31,0,0,0
46,51,35,0,0
110,56,29,0,0
47,35,24,0,0
14,12,6,0,0
53,18,29,0,0
