cell_line_names,anchor_names,library_names,labels
OCUB-M,Docetaxel,Temozolomide,0
SUIT-2,Cisplatin,Oxaliplatin,0
HCC2157,5-Fluorouracil,Bortezomib,0
MDA-MB-330,Luminespib,MK-1775,0
PA-TU-8988T,Dasatinib,AZD7762,0
PL4,Oxaliplatin,OSI-027,0
HT-115,5-Fluorouracil,SCH772984,0
BT-483,Palbociclib,Navitoclax,0
MDA-MB-468,Palbociclib,AZD6482,0
ZR-75-30,Docetaxel,GSK269962A,0
CAL-85-1,Linsitinib,Sapitinib,1
HCC1569,Trametinib,AZD6482,0
HCC1569,Taselisib,Bortezomib,0
HCC1954,OSI-027,Camptothecin,0
CAPAN-2,Taselisib,5-Fluorouracil,0
HCC1569,Cisplatin,AZD6482,0
GP5d,Crizotinib,MK-2206,0
HCC1428,Sapitinib,AZD8055,0
SW1116,SB505124,Sapitinib,0
HT-29,Vinorelbine,LGK974,0
T84,Afatinib,Sapitinib,0
PA-TU-8988T,Lapatinib,Olaparib,0
COLO-824,Gemcitabine,SCH772984,0
YAPC,LGK974,Galunisertib,0
CFPAC-1,SCH772984,Dactolisib,0
ZR-75-1,Palbociclib,PD173074,0
HCC1569,Temozolomide,Vorinostat,0
MDA-MB-468,Bortezomib,Doramapimod,0
T84,Olaparib,SB216763,0
COLO-320-HSR,Palbociclib,Trametinib,0
MDA-MB-415,Gemcitabine,Lapatinib,0
COLO-824,Crizotinib,Navitoclax,0
COLO-205,Afatinib,Vinorelbine,0
HDQ-P1,Gemcitabine,Entinostat,1
SNU-407,LGK974,Linsitinib,0
MIA-PaCa-2,Sorafenib,AZD7762,0
T84,MK-2206,SB216763,0
HCC1428,Lapatinib,AZD8055,0
HT-29,MK-2206,Trametinib,0
MFM-223,Pictilisib,Alpelisib,0
LS-123,Palbociclib,AZD4547,0
SW948,Palbociclib,Linsitinib,0
COLO-824,Lapatinib,Docetaxel,0
KP-4,Trametinib,Dactolisib,0
GP5d,Trametinib,Dabrafenib,0
MDA-MB-415,Pictilisib,Taselisib,0
CaR-1,Olaparib,SB216763,0
HCC1806,AZD7762,Taselisib,0
HCC1500,Crizotinib,OSI-027,0
MDA-MB-415,Lapatinib,GSK269962A,0
SW948,BMS-754807,Navitoclax,0
CAPAN-2,Gemcitabine,Palbociclib,0
HDQ-P1,Luminespib,MK-2206,0
COLO-678,Taselisib,Camptothecin,0
OCUB-M,Sapitinib,NU7441,0
BT-483,MK-1775,JQ1,0
ZR-75-1,MK-2206,PF-4708671,0
CaR-1,5-Fluorouracil,BMS-754807,0
HCC38,Vorinostat,Alisertib,0
HCC1428,Sapitinib,SB216763,0
T47D,Sapitinib,MK-1775,0
JIMT-1,Docetaxel,Sapitinib,0
SW1116,AZD4547,Trametinib,0
ZR-75-30,Cisplatin,Temozolomide,0
CW-2,SB216763,Oxaliplatin,0
HPAC,AZD7762,Navitoclax,0
SUIT-2,Galunisertib,MK-2206,0
KP-1N,MK-2206,Erlotinib,0
HCC1569,Gemcitabine,ZM447439,0
HCC1806,Bortezomib,Cisplatin,0
MDA-MB-453,Temozolomide,NU7441,0
HCC1806,MK-1775,5-Fluorouracil,0
MDST8,Trametinib,Sapitinib,0
HuP-T4,Taselisib,Lapatinib,0
HCC1395,5-Fluorouracil,Docetaxel,0
HPAC,AZD7762,Dactolisib,0
COLO-824,Lapatinib,MK-1775,0
MDST8,Afatinib,BMS-754807,0
SW1990,Paclitaxel,Ruxolitinib,0
MDA-MB-415,MK-1775,AZD7762,0
SNU-C5,Camptothecin,Vinorelbine,0
CAL-85-1,Bortezomib,Palbociclib,0
HCC1599,5-Fluorouracil,PD173074,0
MDA-MB-468,OSI-027,Gemcitabine,0
MDA-MB-157,Taselisib,Luminespib,0
NCI-H716,Sapitinib,Dabrafenib,0
ZR-75-30,5-Fluorouracil,Gemcitabine,0
HDQ-P1,MK-2206,SB216763,0
PANC-04-03,LGK974,Palbociclib,0
MDA-MB-231,OSI-027,Vorinostat,0
HCC1428,Gemcitabine,Venetoclax,0
MDA-MB-415,Axitinib,Cisplatin,0
CAL-148,Temozolomide,Linsitinib,0
