cell,drug1_db,drug2_db,synergy
EVSA-T,Docetaxel,Pictilisib,0
DiFi,Olaparib,SB216763,0
SUIT-2,Cisplatin,Oxaliplatin,0
HCC2157,5-Fluorouracil,Bortezomib,0
RCM-1,Trametinib,Afatinib,0
MDA-MB-330,Luminespib,MK-1775,0
EVSA-T,Axitinib,Palbociclib,0
AsPC-1,Linsitinib,LGK974,0
BT-483,Palbociclib,Navitoclax,0
BT-20,Navitoclax,AZD7762,0
MDA-MB-468,Palbociclib,AZD6482,0
ZR-75-30,Docetaxel,GSK269962A,0
CAL-85-1,Linsitinib,Sapitinib,1
HCC1569,Taselisib,Bortezomib,0
HCC1954,OSI-027,Camptothecin,0
AU565,OSI-027,Sapitinib,0
BT-20,Gemcitabine,Lapatinib,0
UACC-812,Olaparib,Pictilisib,0
HCC1569,Cisplatin,AZD6482,0
SNU-175,Sapitinib,Taselisib,0
SW1116,SB505124,Sapitinib,0
T84,Afatinib,Sapitinib,0
SW837,Oxaliplatin,AZD7762,0
BT-20,Olaparib,JQ1,0
COLO-824,Gemcitabine,SCH772984,0
CFPAC-1,SCH772984,Dactolisib,0
CCK-81,AZD8055,Trametinib,0
CAL-120,Bortezomib,Sorafenib,0
EFM-192A,Bortezomib,Linsitinib,0
T84,Olaparib,SB216763,0
COLO-320-HSR,Palbociclib,Trametinib,0
SW1463,Dabrafenib,Palbociclib,0
MDA-MB-415,Gemcitabine,Lapatinib,0
PSN1,Sorafenib,LGK974,1
COLO-824,Crizotinib,Navitoclax,0
AU565,Navitoclax,Venetoclax,0
COLO-205,Afatinib,Vinorelbine,0
PSN1,Galunisertib,Linsitinib,0
HDQ-P1,Gemcitabine,Entinostat,1
SNU-407,LGK974,Linsitinib,0
MIA-PaCa-2,Sorafenib,AZD7762,0
T84,MK-2206,SB216763,0
HT-29,MK-2206,Trametinib,0
MFM-223,Pictilisib,Alpelisib,0
MCF7,PD173074,Gemcitabine,0
EFM-192A,Pictilisib,Olaparib,0
LS-123,Palbociclib,AZD4547,0
SW948,Palbociclib,Linsitinib,0
CAMA-1,Axitinib,Palbociclib,0
LS-411N,Trametinib,SB216763,0
KP-4,Trametinib,Dactolisib,0
AU565,Sapitinib,RO-3306,0
GP5d,Trametinib,Dabrafenib,0
MDA-MB-415,Pictilisib,Taselisib,0
EFM-192A,Gemcitabine,Linsitinib,0
MRK-nu-1,5-Fluorouracil,Navitoclax,0
CaR-1,Olaparib,SB216763,0
BT-20,Cisplatin,Bortezomib,0
HCC1806,AZD7762,Taselisib,0
HCC1500,Crizotinib,OSI-027,0
HCT-116,Olaparib,Camptothecin,0
SW948,BMS-754807,Navitoclax,0
CAPAN-2,Gemcitabine,Palbociclib,0
COLO-678,Taselisib,Camptothecin,0
OCUB-M,Sapitinib,NU7441,0
HCC1937,MK-1775,Pictilisib,0
BT-483,MK-1775,JQ1,0
ZR-75-1,MK-2206,PF-4708671,0
CaR-1,5-Fluorouracil,BMS-754807,0
KP-3,OSI-027,Paclitaxel,0
HCC1428,Sapitinib,SB216763,0
T47D,Sapitinib,MK-1775,0
JIMT-1,Docetaxel,Sapitinib,0
SW1116,AZD4547,Trametinib,0
PA-TU-8902,Gemcitabine,SCH772984,0
EVSA-T,Palbociclib,Navitoclax,0
ZR-75-30,Cisplatin,Temozolomide,0
HPAC,AZD7762,Navitoclax,0
KP-1N,MK-2206,Erlotinib,0
MRK-nu-1,AZD7762,Docetaxel,0
HCC1569,Gemcitabine,ZM447439,0
MDA-MB-361,Trametinib,OSI-027,0
SK-CO-1,Camptothecin,Olaparib,1
EFM-192A,Olaparib,Afatinib,0
HCC1806,Bortezomib,Cisplatin,0
MCF7,Temozolomide,BI-2536,0
HCC1806,MK-1775,5-Fluorouracil,0
MDST8,Trametinib,Sapitinib,0
SW48,MK-2206,Taselisib,0
HuP-T4,Taselisib,Lapatinib,0
HCC1395,5-Fluorouracil,Docetaxel,0
HPAC,AZD7762,Dactolisib,0
COLO-824,Lapatinib,MK-1775,0
MDST8,Afatinib,BMS-754807,0
SNU-C2B,Oxaliplatin,Olaparib,0
SW1990,Paclitaxel,Ruxolitinib,0
Hs-766T,Trametinib,OSI-027,0
BT-474,Olaparib,Alisertib,0
MDA-MB-175-VII,Docetaxel,Luminespib,0
EFM-192A,Taselisib,Navitoclax,1
MDA-MB-468,OSI-027,Gemcitabine,0
MDA-MB-157,Taselisib,Luminespib,0
NCI-H716,Sapitinib,Dabrafenib,0
HDQ-P1,MK-2206,SB216763,0
EFM-19,OSI-027,Tozasertib,0
MDA-MB-175-VII,PD173074,Venetoclax,0
CAL-148,Temozolomide,Linsitinib,0
PANC-04-03,Dasatinib,Gemcitabine,0
PANC-10-05,Galunisertib,Olaparib,0
PANC-04-03,Paclitaxel,Erlotinib,0
KP-2,Galunisertib,Ruxolitinib,0
MDA-MB-453,Cisplatin,NU7441,0
PANC-04-03,Irinotecan,SCH772984,0
SW837,SB216763,AZD8055,0
MCF7,OSI-027,Olaparib,0
HCC1187,Docetaxel,Sapitinib,0
CAL-85-1,Cisplatin,Uprosertib,0
SW1116,Navitoclax,LGK974,0
MDA-MB-330,Temozolomide,Olaparib,0
SNU-175,Taselisib,Vinorelbine,0
SNU-C5,SCH772984,Dabrafenib,0
HT55,SB505124,Vinorelbine,0
PA-TU-8902,MK-2206,Erlotinib,0
OCUB-M,Linsitinib,Bortezomib,0
HT-115,AZD4547,SCH772984,1
HCC1143,Olaparib,PF-4708671,0
CAL-51,Temozolomide,Doramapimod,0
T47D,Bortezomib,Gemcitabine,0
HCC38,Crizotinib,AZD8055,0
NCI-H716,BMS-754807,MK-1775,0
MDA-MB-361,Trametinib,Sapitinib,0
HCC1937,Docetaxel,Sapitinib,0
CAL-120,Trametinib,Dabrafenib,0
HuP-T3,Gemcitabine,Taselisib,0
BxPC-3,Dasatinib,Linsitinib,1
SNU-C2B,AZD4547,Palbociclib,0
HCC1143,Temozolomide,AZD7762,0
MDST8,LGK974,Trametinib,0
