cell_line_names,anchor_names,library_names,labels
OCUB-M,Docetaxel,Temozolomide,0
DiFi,Olaparib,SB216763,0
SUIT-2,Cisplatin,Oxaliplatin,0
HCC2157,5-Fluorouracil,Bortezomib,0
MDA-MB-175-VII,Axitinib,Alisertib,0
PA-TU-8988T,Dasatinib,AZD7762,0
PL4,Oxaliplatin,OSI-027,0
HT-115,5-Fluorouracil,SCH772984,0
HCC1937,PD173074,Doramapimod,0
SNU-175,Sapitinib,MK-2206,0
BT-483,Palbociclib,Navitoclax,0
BT-20,Navitoclax,AZD7762,0
MDA-MB-468,Palbociclib,AZD6482,0
ZR-75-30,Docetaxel,GSK269962A,0
CAL-85-1,Linsitinib,Sapitinib,1
HCC1569,Trametinib,AZD6482,0
HCC1569,Taselisib,Bortezomib,0
HCC1954,OSI-027,Camptothecin,0
AU565,OSI-027,Sapitinib,0
BT-20,Gemcitabine,Lapatinib,0
CAPAN-2,Taselisib,5-Fluorouracil,0
UACC-812,Olaparib,Pictilisib,0
HCC1569,Cisplatin,AZD6482,0
HCC1428,Sapitinib,AZD8055,0
SNU-175,Sapitinib,Taselisib,0
HT-29,Vinorelbine,LGK974,0
SW837,Oxaliplatin,AZD7762,0
BT-20,Olaparib,JQ1,0
PA-TU-8988T,Lapatinib,Olaparib,0
COLO-824,Gemcitabine,SCH772984,0
CCK-81,AZD8055,Trametinib,0
HCC1569,Temozolomide,Vorinostat,0
MDA-MB-468,Bortezomib,Doramapimod,0
EFM-192A,Bortezomib,Linsitinib,0
PSN1,Sorafenib,LGK974,1
COLO-824,Crizotinib,Navitoclax,0
AU565,Navitoclax,Venetoclax,0
EFM-19,MK-1775,NU7441,0
COLO-205,Afatinib,Vinorelbine,0
PSN1,Galunisertib,Linsitinib,0
SNU-407,LGK974,Linsitinib,0
MIA-PaCa-2,Sorafenib,AZD7762,0
BT-20,Trametinib,Entinostat,0
HCC1428,Lapatinib,AZD8055,0
HT-29,MK-2206,Trametinib,0
EFM-192A,Pictilisib,Olaparib,0
EFM-19,Pictilisib,AZD7762,0
LS-123,Palbociclib,AZD4547,0
CAMA-1,Axitinib,Palbociclib,0
COLO-824,Lapatinib,Docetaxel,0
LS-411N,Trametinib,SB216763,0
KP-4,Trametinib,Dactolisib,0
AU565,Sapitinib,RO-3306,0
MDA-MB-175-VII,MK-2206,Temozolomide,0
EFM-192A,Gemcitabine,Linsitinib,0
MRK-nu-1,5-Fluorouracil,Navitoclax,0
CaR-1,Olaparib,SB216763,0
BT-20,Cisplatin,Bortezomib,0
HCC1806,AZD7762,Taselisib,0
HCC1500,Crizotinib,OSI-027,0
HCT-116,Olaparib,Camptothecin,0
CCK-81,Dabrafenib,AZD7762,0
CAPAN-2,Gemcitabine,Palbociclib,0
OCUB-M,Sapitinib,NU7441,0
HCC1937,MK-1775,Pictilisib,0
BT-483,MK-1775,JQ1,0
CaR-1,5-Fluorouracil,BMS-754807,0
KP-3,OSI-027,Paclitaxel,0
HCC1428,Sapitinib,SB216763,0
JIMT-1,Docetaxel,Sapitinib,0
PA-TU-8902,Gemcitabine,SCH772984,0
ZR-75-30,Cisplatin,Temozolomide,0
CW-2,SB216763,Oxaliplatin,0
HPAC,AZD7762,Navitoclax,0
SUIT-2,Galunisertib,MK-2206,0
KP-1N,MK-2206,Erlotinib,0
MRK-nu-1,AZD7762,Docetaxel,0
HCC1569,Gemcitabine,ZM447439,0
EFM-192A,Olaparib,Afatinib,0
HCC1806,Bortezomib,Cisplatin,0
MDA-MB-453,Temozolomide,NU7441,0
HCC1806,MK-1775,5-Fluorouracil,0
HuP-T4,Taselisib,Lapatinib,0
HPAC,AZD7762,Dactolisib,0
COLO-824,Lapatinib,MK-1775,0
SW620,Linsitinib,Dabrafenib,0
SNU-C2B,Oxaliplatin,Olaparib,0
SW1990,Paclitaxel,Ruxolitinib,0
CAL-85-1,Bortezomib,Palbociclib,0
MDA-MB-175-VII,Docetaxel,Luminespib,0
EFM-192A,Taselisib,Navitoclax,1
MDA-MB-468,OSI-027,Gemcitabine,0
MDA-MB-157,Taselisib,Luminespib,0
NCI-H716,Sapitinib,Dabrafenib,0
ZR-75-30,5-Fluorouracil,Gemcitabine,0
EFM-19,OSI-027,Tozasertib,0
MDA-MB-175-VII,PD173074,Venetoclax,0
HCC1428,Gemcitabine,Venetoclax,0
SNU-175,Linsitinib,Dabrafenib,0
CAL-148,Temozolomide,Linsitinib,0
PANC-10-05,Galunisertib,Olaparib,0
KP-2,Galunisertib,Ruxolitinib,0
EFM-19,Vorinostat,Navitoclax,0
MDA-MB-453,Cisplatin,NU7441,0
SW837,SB216763,AZD8055,0
HCC1187,Docetaxel,Sapitinib,0
KP-2,MK-2206,Linsitinib,0
NCI-H747,Palbociclib,Oxaliplatin,0
CAL-85-1,Cisplatin,Uprosertib,0
MDA-MB-175-VII,MK-1775,Docetaxel,0
SNU-175,Taselisib,Vinorelbine,0
PA-TU-8902,MK-2206,Erlotinib,0
PANC-10-05,LGK974,Ruxolitinib,0
CAL-51,MK-1775,Linsitinib,0
OCUB-M,Linsitinib,Bortezomib,0
HT-115,AZD4547,SCH772984,1
HCC1143,Olaparib,PF-4708671,0
CAL-148,Trametinib,SCH772984,0
CAL-51,Temozolomide,Doramapimod,0
HCC1428,MK-2206,Tozasertib,0
EFM-192A,OSI-027,AZD7762,0
BT-20,MK-2206,Wee1 Inhibitor,0
NCI-H716,BMS-754807,MK-1775,0
HT-115,BMS-754807,LGK974,0
HCC1937,Docetaxel,Sapitinib,0
HuP-T3,Gemcitabine,Taselisib,0
