,id,drug_names,AUPRC,F1,BACC,KAPPA,num_pos,data_num
0,0,Dasatinib,0.5049870982360062,0.4512534818941504,0.6751506820344718,0.3722364299101545,193,1418
1,1,Taselisib,0.49177055486028143,0.46506550218340614,0.7024427875553996,0.4285350064474164,487,7136
2,2,PD173074,0.24792147653071847,0.296551724137931,0.6242236248483255,0.26802409816389394,157,3695
3,3,Trametinib,0.5212095019666123,0.5177228786251342,0.7174107962225688,0.4846401847793451,524,7137
4,4,SB216763,0.1130393681805783,0.10526315789473685,0.5314358001265023,0.09819223550330936,60,3222
5,5,Ribociclib,0.29599054884184606,0.2439024390243902,0.5917133488181445,0.23120640661327818,26,1152
6,6,SCH772984,0.6116443028193244,0.562137049941928,0.7552366703308251,0.5173686371281381,437,4640
7,7,AZD6482,0.39761601313237055,0.3853211009174312,0.6491809991809991,0.3568420021549613,66,1176
8,8,Temozolomide,0.08686978765299067,0.08333333333333333,0.5285862281070931,0.0808367473050603,17,3651
9,9,Galunisertib,0.007422484247041837,0.0,0.5,0.0,5,1442
10,10,PF-4708671,0.20839437545076464,0.2916666666666667,0.611965811965812,0.27813163481953296,30,1200
11,11,Pictilisib,0.3206366934146832,0.3524904214559387,0.6432885354222415,0.3293902864660241,151,3695
12,12,Vinorelbine,0.3879592232281251,0.38222222222222224,0.6641194575570638,0.34595389577447744,119,2022
13,13,Dactolisib,0.28377967567398216,0.28,0.599689731383883,0.26877900647453146,34,1418
14,14,Lapatinib,0.4339597591853891,0.45631067961165045,0.6895846147931723,0.40885490613865816,448,5093
15,15,AZD8055,0.33884262801357357,0.37229437229437223,0.652751577876384,0.3495114269563111,133,3222
16,16,Erlotinib,0.27438463925163303,0.2911392405063291,0.6100893924728121,0.2510549892878011,91,1442
17,17,Bortezomib,0.30083716510077085,0.37500000000000006,0.670436114615246,0.359709037891634,93,3673
18,18,Sapitinib,0.4469195087235113,0.4694708276797829,0.7123072975871529,0.4326316546059641,376,5673
19,19,Venetoclax,0.2323749625608402,0.33333333333333337,0.6405768997697249,0.3139701702622959,37,1152
20,20,BI-2536,0.340328264537001,0.37168141592920345,0.647627064293731,0.3415561532041176,66,1200
21,21,NU7441,0.47257814153248484,0.4482758620689656,0.6724033816425121,0.4214022140221403,72,1176
22,22,Afatinib,0.3809104360133635,0.3782051282051282,0.647398137159708,0.34733274013812976,186,3176
