cell,drug1_db,drug2_db,synergy
EVSA-T,Docetaxel,Pictilisib,0
SUIT-2,Cisplatin,Oxaliplatin,0
HCC2157,5-Fluorouracil,Bortezomib,0
EVSA-T,Axitinib,Palbociclib,0
MDA-MB-175-VII,Axitinib,Alisertib,0
PL4,Oxaliplatin,OSI-027,0
HT-115,5-Fluorouracil,SCH772984,0
HCC1937,PD173074,Doramapimod,0
AsPC-1,Linsitinib,LGK974,0
BT-483,Palbociclib,Navitoclax,0
BT-20,Navitoclax,AZD7762,0
CAL-85-1,Linsitinib,Sapitinib,1
HCC1569,Trametinib,AZD6482,0
HCC1569,Taselisib,Bortezomib,0
AU565,OSI-027,Sapitinib,0
BT-20,Gemcitabine,Lapatinib,0
UACC-812,Olaparib,Pictilisib,0
GP5d,Crizotinib,MK-2206,0
HT-29,Vinorelbine,LGK974,0
SW837,Oxaliplatin,AZD7762,0
BT-20,Olaparib,JQ1,0
COLO-824,Gemcitabine,SCH772984,0
CFPAC-1,SCH772984,Dactolisib,0
CCK-81,AZD8055,Trametinib,0
MDA-MB-468,Bortezomib,Doramapimod,0
CAL-120,Bortezomib,Sorafenib,0
SW1463,Dabrafenib,Palbociclib,0
SK-CO-1,Trametinib,AZD7762,0
LoVo,SB505124,Olaparib,0
MDA-MB-415,Gemcitabine,Lapatinib,0
PSN1,Sorafenib,LGK974,1
COLO-824,Crizotinib,Navitoclax,0
COLO-205,Afatinib,Vinorelbine,0
PSN1,Galunisertib,Linsitinib,0
HDQ-P1,Gemcitabine,Entinostat,1
SNU-407,LGK974,Linsitinib,0
MIA-PaCa-2,Sorafenib,AZD7762,0
T84,MK-2206,SB216763,0
MFM-223,Pictilisib,Alpelisib,0
MCF7,PD173074,Gemcitabine,0
EFM-192A,Pictilisib,Olaparib,0
SW948,Palbociclib,Linsitinib,0
CAMA-1,Axitinib,Palbociclib,0
COLO-824,Lapatinib,Docetaxel,0
LS-411N,Trametinib,SB216763,0
KP-4,Trametinib,Dactolisib,0
MCF7,Lapatinib,Sapitinib,0
EFM-192A,Gemcitabine,Linsitinib,0
MRK-nu-1,5-Fluorouracil,Navitoclax,0
MDA-MB-415,Lapatinib,GSK269962A,0
HCT-116,Olaparib,Camptothecin,0
CCK-81,Dabrafenib,AZD7762,0
SW948,BMS-754807,Navitoclax,0
HDQ-P1,Luminespib,MK-2206,0
BT-474,Vorinostat,GSK269962A,0
OCUB-M,Sapitinib,NU7441,0
HCC1937,MK-1775,Pictilisib,0
BT-483,MK-1775,JQ1,0
SU8686,Paclitaxel,Palbociclib,0
KP-3,OSI-027,Paclitaxel,0
HCC38,Vorinostat,Alisertib,0
T47D,Sapitinib,MK-1775,0
JIMT-1,Docetaxel,Sapitinib,0
SW1116,AZD4547,Trametinib,0
PA-TU-8902,Gemcitabine,SCH772984,0
EVSA-T,Palbociclib,Navitoclax,0
ZR-75-30,Cisplatin,Temozolomide,0
CW-2,SB216763,Oxaliplatin,0
SUIT-2,Galunisertib,MK-2206,0
KP-1N,MK-2206,Erlotinib,0
MRK-nu-1,AZD7762,Docetaxel,0
HCC1569,Gemcitabine,ZM447439,0
MDA-MB-361,Trametinib,OSI-027,0
HCC1806,Bortezomib,Cisplatin,0
MDA-MB-453,Temozolomide,NU7441,0
HCC1806,MK-1775,5-Fluorouracil,0
MDST8,Trametinib,Sapitinib,0
SW48,MK-2206,Taselisib,0
HuP-T4,Taselisib,Lapatinib,0
HCC1395,5-Fluorouracil,Docetaxel,0
HPAC,AZD7762,Dactolisib,0
COLO-824,Lapatinib,MK-1775,0
MDST8,Afatinib,BMS-754807,0
MDA-MB-415,MK-1775,AZD7762,0
SNU-C5,Camptothecin,Vinorelbine,0
CAL-85-1,Bortezomib,Palbociclib,0
Hs-766T,Trametinib,OSI-027,0
MDA-MB-175-VII,Docetaxel,Luminespib,0
EFM-192A,Taselisib,Navitoclax,1
HCC1599,5-Fluorouracil,PD173074,0
NCI-H716,Sapitinib,Dabrafenib,0
ZR-75-30,5-Fluorouracil,Gemcitabine,0
HDQ-P1,MK-2206,SB216763,0
EFM-19,OSI-027,Tozasertib,0
PANC-04-03,LGK974,Palbociclib,0
MDA-MB-231,OSI-027,Vorinostat,0
MDA-MB-415,Axitinib,Cisplatin,0
CAL-148,Temozolomide,Linsitinib,0
PANC-04-03,Dasatinib,Gemcitabine,0
PANC-04-03,Paclitaxel,Erlotinib,0
MDA-MB-453,Cisplatin,NU7441,0
MCF7,OSI-027,Olaparib,0
HCC1187,Docetaxel,Sapitinib,0
CAL-85-1,Cisplatin,Uprosertib,0
MDA-MB-330,Temozolomide,Olaparib,0
SNU-175,Taselisib,Vinorelbine,0
SNU-C5,SCH772984,Dabrafenib,0
HT55,SB505124,Vinorelbine,0
MCF7,Vorinostat,KU-55933,0
PA-TU-8902,MK-2206,Erlotinib,0
CAL-51,MK-1775,Linsitinib,0
OCUB-M,Linsitinib,Bortezomib,0
HCC1143,Olaparib,PF-4708671,0
CAL-51,Temozolomide,Doramapimod,0
T47D,Bortezomib,Gemcitabine,0
HCC1428,MK-2206,Tozasertib,0
MDA-MB-330,Palbociclib,Bortezomib,0
HCC38,Crizotinib,AZD8055,0
NCI-H716,BMS-754807,MK-1775,0
MDA-MB-361,Trametinib,Sapitinib,0
HT-115,BMS-754807,LGK974,0
HCC1937,Docetaxel,Sapitinib,0
BxPC-3,Dasatinib,Linsitinib,1
SW1990,Trametinib,AZD7762,0
HCC1143,Temozolomide,AZD7762,0
HCC1599,Vorinostat,Axitinib,0
HCC2157,Linsitinib,Gemcitabine,0
CAPAN-1,Irinotecan,Dactolisib,0
ZR-75-1,Vorinostat,SCH772984,0
OCUB-M,AZD7762,Afatinib,0
COLO-824,Trametinib,Paclitaxel,0
SW1463,SB216763,Taselisib,0
CL-11,LGK974,Navitoclax,0
HCC1419,Olaparib,Wee1 Inhibitor,0
SUIT-2,MK-1775,MK-2206,1
YAPC,Galunisertib,Dactolisib,0
BT-483,Trametinib,PF-4708671,0
COLO-678,Afatinib,BMS-754807,0
LS-123,Oxaliplatin,LGK974,0
HPAC,Gemcitabine,Irinotecan,0
SW1116,5-Fluorouracil,AZD8055,0
HPAC,Erlotinib,Sorafenib,0
SW48,Oxaliplatin,BMS-754807,0
C2BBe1,SCH772984,AZD8055,0
CaR-1,Linsitinib,MK-2206,1
PA-TU-8988T,Olaparib,Taselisib,0
SU8686,Paclitaxel,Irinotecan,0
YAPC,Taselisib,Erlotinib,1
CAL-148,Docetaxel,Pictilisib,0
MCF7,PD173074,Nilotinib,1
HDQ-P1,Taselisib,OSI-027,0
KP-4,Cisplatin,MK-2206,0
YAPC,Paclitaxel,Taselisib,0
MDST8,SB216763,AZD4547,0
T84,LGK974,Olaparib,0
SNU-1040,MK-1775,AZD8055,0
MDA-MB-468,Taselisib,Alpelisib,0
HT-115,5-Fluorouracil,Dabrafenib,0
ZR-75-1,Linsitinib,Wee1 Inhibitor,0
BT-20,Axitinib,BI-2536,0
MDA-MB-330,Palbociclib,Luminespib,0
SNU-C2B,Taselisib,BMS-754807,0
ZR-75-30,Palbociclib,Axitinib,0
CAL-148,Temozolomide,Gemcitabine,0
HCT-116,5-Fluorouracil,AZD8055,0
MRK-nu-1,AZD7762,Vorinostat,0
MDST8,5-Fluorouracil,Vinorelbine,0
PANC-10-05,5-Fluorouracil,Linsitinib,0
EVSA-T,Bortezomib,Sorafenib,0
SNU-81,Taselisib,LGK974,0
HCC1937,Trametinib,5-Fluorouracil,0
SW620,Navitoclax,Sapitinib,0
CAL-51,PD173074,PF-4708671,0
EFM-19,Temozolomide,Venetoclax,0
HCC1500,Palbociclib,OSI-027,0
LS-180,AZD4547,Navitoclax,0
CAMA-1,Cisplatin,Docetaxel,0
MDA-MB-361,Bortezomib,Doramapimod,0
MDA-MB-453,5-Fluorouracil,Uprosertib,0
HCC1569,Olaparib,RO-3306,0
