cell_line_names,anchor_names,library_names,labels
EVSA-T,Docetaxel,Pictilisib,0
DiFi,Olaparib,SB216763,0
SUIT-2,Cisplatin,Oxaliplatin,0
RCM-1,Trametinib,Afatinib,0
MDA-MB-330,Luminespib,MK-1775,0
EVSA-T,Axitinib,Palbociclib,0
MDA-MB-175-VII,Axitinib,Alisertib,0
PA-TU-8988T,Dasatinib,AZD7762,0
PL4,Oxaliplatin,OSI-027,0
HT-115,5-Fluorouracil,SCH772984,0
HCC1937,PD173074,Doramapimod,0
AsPC-1,Linsitinib,LGK974,0
BT-483,Palbociclib,Navitoclax,0
MDA-MB-468,Palbociclib,AZD6482,0
ZR-75-30,Docetaxel,GSK269962A,0
HCC1954,OSI-027,Camptothecin,0
AU565,OSI-027,Sapitinib,0
LoVo,Vinorelbine,Linsitinib,0
CAPAN-2,Taselisib,5-Fluorouracil,0
UACC-812,Olaparib,Pictilisib,0
HT-29,Vinorelbine,LGK974,0
T84,Afatinib,Sapitinib,0
SW837,Oxaliplatin,AZD7762,0
PA-TU-8988T,Lapatinib,Olaparib,0
CFPAC-1,SCH772984,Dactolisib,0
CCK-81,AZD8055,Trametinib,0
MDA-MB-468,Bortezomib,Doramapimod,0
T84,Olaparib,SB216763,0
LoVo,SB505124,Olaparib,0
MDA-MB-415,Gemcitabine,Lapatinib,0
AU565,Navitoclax,Venetoclax,0
COLO-205,Afatinib,Vinorelbine,0
SNU-407,LGK974,Linsitinib,0
T84,MK-2206,SB216763,0
HT-29,MK-2206,Trametinib,0
MFM-223,Pictilisib,Alpelisib,0
LS-123,Palbociclib,AZD4547,0
CAMA-1,Axitinib,Palbociclib,0
LS-411N,Trametinib,SB216763,0
AU565,Sapitinib,RO-3306,0
MDA-MB-175-VII,MK-2206,Temozolomide,0
MDA-MB-415,Pictilisib,Taselisib,0
MRK-nu-1,5-Fluorouracil,Navitoclax,0
CaR-1,Olaparib,SB216763,0
HCC1500,Crizotinib,OSI-027,0
MDA-MB-415,Lapatinib,GSK269962A,0
HCT-116,Olaparib,Camptothecin,0
CCK-81,Dabrafenib,AZD7762,0
CAPAN-2,Gemcitabine,Palbociclib,0
COLO-678,Taselisib,Camptothecin,0
HCC1937,MK-1775,Pictilisib,0
BT-483,MK-1775,JQ1,0
CaR-1,5-Fluorouracil,BMS-754807,0
SU8686,Paclitaxel,Palbociclib,0
KP-3,OSI-027,Paclitaxel,0
T47D,Sapitinib,MK-1775,0
JIMT-1,Docetaxel,Sapitinib,0
PA-TU-8902,Gemcitabine,SCH772984,0
EVSA-T,Palbociclib,Navitoclax,0
ZR-75-30,Cisplatin,Temozolomide,0
SUIT-2,Galunisertib,MK-2206,0
MRK-nu-1,AZD7762,Docetaxel,0
MDA-MB-361,Trametinib,OSI-027,0
MDA-MB-453,Temozolomide,NU7441,0
SW48,MK-2206,Taselisib,0
HuP-T4,Taselisib,Lapatinib,0
SW620,Linsitinib,Dabrafenib,0
SNU-C2B,Oxaliplatin,Olaparib,0
MDA-MB-415,MK-1775,AZD7762,0
SNU-C5,Camptothecin,Vinorelbine,0
Hs-766T,Trametinib,OSI-027,0
MDA-MB-175-VII,Docetaxel,Luminespib,0
MDA-MB-468,OSI-027,Gemcitabine,0
MDA-MB-157,Taselisib,Luminespib,0
NCI-H716,Sapitinib,Dabrafenib,0
ZR-75-30,5-Fluorouracil,Gemcitabine,0
MDA-MB-175-VII,PD173074,Venetoclax,0
PANC-04-03,LGK974,Palbociclib,0
MDA-MB-231,OSI-027,Vorinostat,0
MDA-MB-415,Axitinib,Cisplatin,0
CAL-148,Temozolomide,Linsitinib,0
PANC-04-03,Dasatinib,Gemcitabine,0
PANC-10-05,Galunisertib,Olaparib,0
PANC-04-03,Paclitaxel,Erlotinib,0
KP-2,Galunisertib,Ruxolitinib,0
MDA-MB-453,Cisplatin,NU7441,0
PANC-04-03,Irinotecan,SCH772984,0
SW837,SB216763,AZD8055,0
HCC1187,Docetaxel,Sapitinib,0
KP-2,MK-2206,Linsitinib,0
NCI-H747,Palbociclib,Oxaliplatin,0
MDA-MB-175-VII,MK-1775,Docetaxel,0
MDA-MB-330,Temozolomide,Olaparib,0
SNU-C5,SCH772984,Dabrafenib,0
HT55,SB505124,Vinorelbine,0
PA-TU-8902,MK-2206,Erlotinib,0
PANC-10-05,LGK974,Ruxolitinib,0
CAL-51,MK-1775,Linsitinib,0
HT-115,AZD4547,SCH772984,1
CAL-148,Trametinib,SCH772984,0
CAL-51,Temozolomide,Doramapimod,0
T47D,Bortezomib,Gemcitabine,0
MDA-MB-330,Palbociclib,Bortezomib,0
NCI-H716,BMS-754807,MK-1775,0
MDA-MB-361,Trametinib,Sapitinib,0
HT-115,BMS-754807,LGK974,0
HCC1937,Docetaxel,Sapitinib,0
HuP-T3,Gemcitabine,Taselisib,0
BxPC-3,Dasatinib,Linsitinib,1
SNU-C2B,AZD4547,Palbociclib,0
BxPC-3,Galunisertib,Navitoclax,0
PANC-02-03,Palbociclib,Crizotinib,0
KP-3,Palbociclib,Oxaliplatin,0
CAMA-1,Olaparib,Trametinib,0
CL-11,LGK974,Navitoclax,0
SUIT-2,MK-1775,MK-2206,1
BT-483,Trametinib,PF-4708671,0
COLO-678,Afatinib,BMS-754807,0
LS-123,Oxaliplatin,LGK974,0
HCC1954,OSI-027,Luminespib,0
SW48,Oxaliplatin,BMS-754807,0
MDA-MB-175-VII,Olaparib,MK-2206,0
CaR-1,Linsitinib,MK-2206,1
PA-TU-8988T,Olaparib,Taselisib,0
SU8686,Paclitaxel,Irinotecan,0
Hs-766T,LGK974,Sorafenib,0
CAL-148,Docetaxel,Pictilisib,0
MDA-MB-330,Crizotinib,RO-3306,0
NCI-H747,Crizotinib,Camptothecin,0
MDA-MB-453,Navitoclax,SB216763,0
T84,LGK974,Olaparib,0
SNU-1040,MK-1775,AZD8055,0
MDA-MB-468,Taselisib,Alpelisib,0
HT-115,5-Fluorouracil,Dabrafenib,0
