,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
Venetoclax,1.0032092071926544,2563.538280931457,42.7268286245693,34.28544737198946,35.85787289893564,29.297596635107286,20.665802219668333,22.52692994027195,16.86957252598595,18.988410547867442,11.968228630995116,13.548865425107508,8.40001300912942,9.511855993786984,31.436651681778095,23.32665243716633,0.0,28.333246115222636,31.15520938899004,86.99050101554421,35.039238260371825,30.462311845459517,18.19910120538483,55.78686850835827,21.074665797832616,867.31809562,1.0327868852459017,1.8032786885245902,2.557377049180328,0.37777777777777777,-5.4799999999999995,61,818.0569999999998,43762524630358.69,42.22048453336903,17.855789620807272,10.01823709713814,360.0299265750221,13.90606849986375,0.4548032789505275,13.90606849986375,0.2931897784676114,0.03586729183555959,0.2931897784676114,-4.551966160527181,-0.4548032789505275,8.659900000000006,237.04779999999943,868.4569999999998,3,14,1,2,3,3,2,5,11,3,16,0,13,0,2,2,320,24.674402763404114,22.8335871620191,0.0,0.0,21.61785715744265,0.0,19.80876518368787,18.123870369728234,0.0,0.0,43.15425295660626,103.1044971996474,86.90812387592726,21.579089587645516,8,27.609371124818527,61.20007556234408,0.0,19.589961637196982,11.332896515558172,50.84706598952907,62.69900069935809,117.02705106073566,0.0,11.49902366656781,19.675656153108946,17.062158824050687,11.49902366656781,11.600939890232516,86.59845689974428,14.760154107207633,21.447214784323744,61.87302268147711,95.65867997035252,5.022633313741326,16.606505965301793,0.0,172.03,41.163265941171446,6.238459066896006,37.09911170299354,16.693683327269152,5.553397832658172,-0.19500241784087025,20.430116665078007,8.130102533447669,10.383275953298511,-4.551966160527181,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,4,3,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,3,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.07640809714093555
BI-2536,1.375149013461378,1175.0323748374883,26.810825830012615,22.866225763897685,22.866225763897685,18.38858044840886,13.766148413937493,13.766148413937493,10.66038175271592,10.66038175271592,8.176123700406777,8.176123700406777,5.921149623901021,5.921149623901021,0.0,9.589074368143644,0.0,23.898041116998932,28.990529709798917,56.69886997897379,12.841643245852019,37.3869569633415,6.06636706846161,39.388784373028635,9.720841474747257,521.311438108,1.131578947368421,1.868421052631579,2.5526315789473686,0.5714285714285714,-3.4,38,482.3540000000004,527411995.3443799,26.21682192810546,11.1465794303837,5.137663190323479,224.2950726934259,13.134548027166533,0.4945529209704142,13.134548027166533,0.2511355194566637,0.08980640446650345,0.2511355194566637,-0.22662444095240186,-0.4945529209704142,3.5568000000000026,148.51789999999983,521.6660000000003,2,10,1,2,3,1,1,2,8,2,10,0,7,1,1,2,204,30.070169354364143,17.478738937115427,5.817862777835028,11.855519010338,5.907179729351506,0.0,9.589074368143644,4.9839785209472085,4.9839785209472085,0.0,19.765380445542643,70.44039411451722,24.69480513267011,18.99402738757417,5,14.325937321943693,34.95533406689166,0.0,20.184655376751227,0.0,69.99501104761659,49.411262384164345,29.9593962686949,0.0,5.749511833283905,25.170259623513665,23.140974608188646,5.749511833283905,0.0,79.10240303734884,4.794537184071822,0.0,62.22747723594151,24.395944776997904,0.0,0.0,0.0,102.93,5.62502339845233,0.0,41.64958544332835,6.436681303705113,1.9481950655825921,1.7391548513942123,5.620406711040493,8.80446158769195,4.024851428284403,5.484973543853896,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,5,2,0,0,1,1,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5703394097150783
NU7441,1.6274888966124412,1460.3467778891263,20.07877502244374,16.25948684318749,17.075983424115215,14.79282633568371,10.096767735224773,10.913264316152501,7.511045838060464,8.563244679383706,5.758907216357923,6.978766936332702,4.275876552841969,5.506262311204612,0.0,4.794537184071822,0.0,5.428790391900541,30.067190486993887,24.21641579521914,20.17228826186779,17.403152946396347,18.19910120538483,47.36447921008175,9.154013890853395,413.108564468,0.8,1.5333333333333334,2.4,0.16,-3.149999999999998,30,394.3460000000002,20410974.84707565,17.686687869206374,6.971872710457729,2.738101952135843,176.46750931899837,12.914883489693192,0.4396177242810049,12.914883489693192,0.1996772059928685,0.011011537330981591,0.1996772059928685,-0.011011537330981591,-0.4396177242810049,5.664500000000005,123.84100000000004,413.4980000000001,0,4,0,1,1,3,2,5,5,0,5,0,2,0,1,1,148,14.053923621703873,5.583020141642242,11.31297259376155,0.0,0.0,0.0,4.794537184071822,0.0,0.0,11.336785877934737,48.53093654769288,12.13273413692322,50.45507112554854,18.59998814349063,6,9.154013890853395,48.36250069777058,0.0,0.0,0.0,0.0,31.203186471701464,76.95336532905009,0.0,11.126902983393991,10.32870012275102,5.884182201861009,0.0,11.336785877934737,26.303276740850986,4.736862953800049,0.0,0.0,75.94172587420289,0.0,42.26843560136882,0.0,42.68,14.287940538984323,1.7814109492766597,14.999349533826894,3.1059746157288552,2.692591254094231,0.6173756508776349,22.279253331438476,0.0,2.736104125772929,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.37425065545818476
Afatinib,1.6802607790026556,1214.67784504622,24.078775022443736,18.846894151362736,19.602823097381194,16.385050488558722,10.763019374480841,11.140983847490068,8.0989929898975,8.506193116638107,5.098208904847835,5.387855366512398,3.4196659728504835,3.600208603079224,5.817220841045895,9.184952231746642,0.0,17.033779430841136,53.60359242750552,6.4208216229260096,24.536074318521642,24.27512131221871,18.99525369620486,20.60153424990708,21.074665797832616,485.16299555999996,1.3235294117647058,2.176470588235294,2.911764705882353,0.2916666666666667,-3.2699999999999996,34,460.7470000000002,52867959.29867568,23.873698027859223,10.771676263256955,5.990027316260755,201.2804170037267,13.552448205745232,0.4856677385504834,13.552448205745232,0.2476891980311076,0.004357248108982192,0.2476891980311076,-0.5094766232811871,-0.4856677385504834,4.389900000000003,130.4064,485.94700000000023,2,8,0,1,1,2,1,3,7,2,10,0,8,0,1,1,178,25.007212846463236,29.815881914677668,0.0,5.907179729351506,0.0,0.0,4.794537184071822,14.358372089569237,0.0,0.0,17.676959997066398,38.36081223920082,36.18157569328243,29.44048423506699,4,18.65867813934674,45.60367987886723,0.0,14.867866772744893,0.0,12.524788010674312,44.487441508305444,59.65104978552757,0.0,5.749511833283905,15.370440161812711,21.58305037487697,5.749511833283905,11.600939890232516,60.73287719013749,9.53140013787187,5.817220841045895,6.4208216229260096,48.81119563074035,5.022633313741326,10.902924932081056,0.0,88.61000000000001,25.101191228374645,5.912266875526566,23.20431745102655,6.673180824588722,1.6543515008955936,0.17043691158996022,7.8233158623723735,5.318233571185272,1.7458293286319775,3.8413208902527805,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45729335341237065
Camptothecin,1.813413910147027,1164.4203046281134,18.051677284948283,14.151807616588863,14.151807616588863,12.525023798248393,8.585127085592587,8.585127085592587,6.791866087794113,6.791866087794113,5.416790771591089,5.416790771591089,3.925153152787503,3.925153152787503,11.570356098935537,14.69560176298435,0.0,18.586970482490933,23.365587384155027,22.160304418626513,0.0,17.55720391594359,30.33183534230805,0.0,9.720841474747257,348.111006992,1.2692307692307692,2.076923076923077,2.8846153846153846,0.25,-2.9899999999999993,26,332.2300000000001,1523004.454468697,15.27944344800238,5.016137241019722,1.8187570089948242,148.22824286689612,13.010453199798437,0.45819772812579923,13.010453199798437,0.3426763382231084,0.10978237591332785,0.3426763382231084,-1.7897470238095243,-0.45819772812579923,2.0796000000000006,94.52480000000003,348.35800000000006,1,6,0,2,2,1,2,3,6,1,6,0,1,0,0,0,130,14.41048999643211,6.606881964512918,5.601050810983688,0.0,5.559266895052007,5.969305287951849,4.794537184071822,9.77851570501903,0.0,0.0,25.122838405075452,24.619922828310838,16.513127197858786,29.012764604922758,5,14.637927532712576,16.872230220032904,0.0,9.551078168738563,0.0,32.097248004025815,0.0,63.44236096498447,0.0,11.387855989696922,5.559266895052007,0.0,0.0,0.0,20.626910851531115,28.28408931928105,0.0,30.034913297707618,41.192739594841484,0.0,22.29078092177798,0.0,81.42,6.7171555493435005,0.0,29.877653971342642,11.847358932011485,1.8138044060216694,-0.7069064229354634,11.55302070134885,0.13862371047796707,2.009289152389351,0.0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5327639891125654
Doramapimod,1.3322619189000384,1433.1343290809896,27.407202147189917,23.159879306096624,23.159879306096624,18.775008148917994,13.480528731496882,13.480528731496882,10.950613047180058,10.950613047180058,6.89897727232041,6.89897727232041,4.605084915893702,4.605084915893702,0.0,4.794537184071822,0.0,11.446104981734852,18.11213101703151,66.31475917020606,0.0,4.681802935145185,73.65377495276834,36.30469853793501,14.572407715901136,527.289640044,0.9743589743589743,1.6923076923076923,2.41025641025641,0.3548387096774194,-3.879999999999999,39,490.3730000000004,725071079.5827968,26.716210705040545,11.471316997387193,6.407509731014803,229.45613433602813,13.24385986732241,0.49160760933570297,13.24385986732241,0.3243699907633604,0.16997731816187445,0.3243699907633604,-0.3380928591299821,-0.49160760933570297,5.986420000000006,156.34439999999972,527.6690000000003,2,8,0,1,1,3,1,4,6,2,8,0,7,0,1,1,204,14.790514511606428,18.17425657563185,0.0,0.0,0.0,6.031114512338072,10.216698334856808,9.476340119217006,5.098681808301038,0.0,62.73286550153853,31.18920547353706,41.888075184525704,30.282464473241422,5,14.268263091671919,28.308811993786254,0.0,14.680394474296701,0.0,33.10993926815928,50.08849231928914,77.98741723962318,0.0,11.436898107967467,15.370440161812711,16.29978623659041,5.749511833283905,0.0,60.166424097911246,10.15185342319683,6.923737199690624,32.02859108561733,66.73003775307771,0.0,16.459834703613154,0.0,80.65,13.37032289878332,0.0,15.589436999789578,12.737129678067953,3.4767953935534694,1.4080869010983,21.4457048457667,0.0,13.222523282940676,0.0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.308784286641935
LGK974,1.4205756538171512,1175.9478708558142,20.924074484064484,16.702276010236087,16.702276010236087,14.580520035918415,9.491602801849494,9.491602801849494,6.942689331822483,6.942689331822483,4.559579058871398,4.559579058871398,3.164655340698866,3.164655340698866,0.0,4.794537184071822,0.0,12.328001352277514,5.817862777835028,39.33558995133336,0.0,43.24742849814007,38.112942673227685,30.23668120874237,0.0,396.16985926000007,0.8666666666666667,1.7666666666666666,2.466666666666667,0.13043478260869565,-3.9999999999999996,30,376.29400000000015,8020246.837839325,19.322235434007133,8.566329565734682,4.519757920968316,173.87207838365978,12.438146419878022,0.3104161774425812,12.438146419878022,0.22950525954374312,0.1495756172839504,0.22950525954374312,-0.1495756172839504,-0.3104161774425812,3.793640000000001,114.53869999999999,396.45400000000006,1,7,0,0,0,0,4,4,6,1,7,0,5,0,0,0,148,5.316788604006331,5.817862777835028,0.0,5.907179729351506,0.0,0.0,24.730451267860655,4.9839785209472085,0.0,0.0,6.06636706846161,49.239845656621675,47.80504883630783,24.00552118423601,4,4.794537184071822,11.725042507186533,0.0,24.91989260473604,0.0,20.268296022307258,5.316788604006331,84.33372775022895,0.0,22.514758973090913,5.316788604006331,5.817862777835028,0.0,0.0,30.827072334087546,11.21535880699783,13.847474399381248,16.82083097824245,67.51289677198649,0.0,22.514758973090913,0.0,93.55000000000001,0.0,0.0,33.79646736763333,2.8201854213907787,6.272341000215149,0.3376487756871962,9.523345896477661,10.30793103118258,3.942080507413304,0.0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.5515401466154501
Docetaxel,1.4857057667213098,1976.3289707769836,42.749983418768025,33.884962475611374,33.884962475611374,26.99041484385485,19.33466298515773,19.33466298515773,17.573846614463754,17.573846614463754,12.567167885693927,12.567167885693927,9.559609692764472,9.559609692764472,112.42190107762872,44.39879549972193,0.0,29.737364139274458,5.563451491696996,6.923737199690624,25.980208536304467,83.149622546146,0.0,5.316788604006331,23.684314769000245,807.3466053760001,0.9482758620689655,1.5517241379310345,2.103448275862069,0.5581395348837209,-4.67,58,754.4660000000001,1464011835189.8,42.92290432672173,15.171694085358682,7.099650361474251,336.1909090656999,14.945481969958259,0.4557376731538227,14.945481969958259,0.40774710722156504,0.06371904860811761,0.40774710722156504,-2.353438114156232,-0.4557376731538227,3.259600000000003,203.60439999999946,807.8900000000004,5,15,3,1,4,2,0,2,14,5,15,0,8,2,1,3,314,49.427212952369395,35.61796717296058,17.488262145096932,0.0,0.0,24.001155934793964,9.589074368143644,14.383611552215466,0.0,0.0,62.37841094707412,63.46108068721186,25.180370914939424,35.64903718866435,6,68.08311026872217,29.784400881158902,0.0,5.316788604006331,16.747886984954953,127.70033243196583,6.606881964512918,82.93678272814864,0.0,0.0,5.316788604006331,4.794537184071822,0.0,0.0,110.24434318447555,38.06792632121571,16.747886984954953,90.19482183999077,71.80987974475464,0.0,0.0,0.0,224.44999999999996,29.507859364191923,0.0,68.90980717341509,51.56241389387875,-8.135526395935347,-5.363479982528286,14.627460695908832,-11.482330648139214,11.790462565874922,0.0,0,4,3,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,5,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1468094861389331
Luminespib,1.7610356844141144,1147.987936563027,24.241911729260273,19.797691824838086,19.797691824838086,16.384249150759292,11.621333415561324,11.621333415561324,8.763076523373902,8.763076523373902,6.008620256245372,6.008620256245372,4.1736036451509495,4.1736036451509495,0.0,15.007591973753234,0.0,34.77828485580361,23.23511088100356,43.97493613015755,6.06636706846161,6.06636706846161,45.03667987291831,15.373361591982254,9.259957890773396,465.22637109199997,1.1176470588235294,1.8235294117647058,2.4705882352941178,0.38461538461538464,-3.359999999999999,34,434.30200000000025,53390965.429678865,23.78664468577553,10.276307565789475,4.926960882792493,198.69268787500528,12.772696247586357,0.507520649072707,12.772696247586357,0.27363706336788396,0.008083743231234841,0.27363706336788396,-0.35440328458952153,-0.507520649072707,4.125100000000004,128.8968,465.5500000000003,3,8,0,1,1,2,1,3,7,3,8,0,7,0,1,1,180,24.78980128446114,11.49902366656781,11.454175413722904,0.0,5.907179729351506,0.0,9.694446914922299,0.0,0.0,0.0,43.26960593035314,35.59836478940461,32.24539269211191,24.340666912419827,4,24.26754986452663,5.907179729351506,0.0,15.373361591982254,0.0,33.23387405114584,32.84803314676356,53.21903338901211,0.0,33.949625560533235,5.316788604006331,0.0,11.49902366656781,0.0,59.024840653772394,11.281619359712625,0.0,48.304485807547536,40.92129734774301,0.0,22.450601893965427,0.0,108.06000000000002,11.059544912123574,0.0,15.11137763771935,27.733790747648307,3.586130669799537,-0.19324341839715276,10.92178473990315,0.0,10.280614711203237,0.0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4815491122179356
Palbociclib,1.5077585467519465,1240.3878111114063,22.949018510446816,19.096170153868027,19.096170153868027,16.02487714325259,11.642185309815734,11.642185309815734,8.864198996043626,8.864198996043626,6.7202895275489665,6.7202895275489665,4.99342493082552,4.99342493082552,0.0,9.589074368143644,0.0,22.947804162261903,22.976830771286245,62.93592260450271,6.923737199690624,17.687680419095056,18.329577708536295,25.501443980757557,4.9839785209472085,447.23827316800003,1.121212121212121,1.878787878787879,2.5454545454545454,0.4583333333333333,-3.33,33,418.31100000000026,53698339.432106696,21.512292754083667,8.897288872412565,4.083227162146444,191.8089705708854,13.329498469858109,0.36774019238087546,13.329498469858109,0.2631101892602483,0.05360289007426533,0.2631101892602483,-0.2476395877040367,-0.36774019238087546,2.965820000000001,128.64690000000004,447.5430000000004,2,9,1,1,2,0,3,3,9,2,9,0,5,1,1,2,172,15.533486938863138,11.465039998602755,5.783244946364939,5.948339280986494,5.559266895052007,0.0,14.156174015934997,9.967957041894417,4.9839785209472085,0.0,12.841643245852019,44.38530327385348,43.80393423887613,17.447681337993632,5,4.794537184071822,34.270234715102546,0.0,24.83582381463931,0.0,45.57260172023325,36.39572395850711,46.00712834266719,0.0,0.0,21.092753833915147,17.453588333505085,0.0,0.0,51.48130578064821,0.0,6.923737199690624,54.570304688008434,29.320958464221192,0.0,11.033401435232523,0.0,105.03999999999999,1.7220685015559583,0.0,41.617567934018915,7.260543005360265,2.2930540544568894,0.7993011334920044,4.010464080397758,7.523952218543564,7.106382405507978,0.0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5754108874418277
Linsitinib,1.5014200071286896,1464.419319578863,21.87166824125719,17.73318530852765,17.73318530852765,15.48309636446465,10.79894020288989,10.79894020288989,8.921810947378109,8.921810947378109,6.382896470819115,6.382896470819115,4.794934067449611,4.794934067449611,5.601050810983688,5.106527394840706,0.0,5.917906046161393,18.659506023687047,44.75878912078815,0.0,6.196843571613076,41.78674365141193,41.38218093171687,15.701624519056601,421.190260356,1.0,1.78125,2.5625,0.19230769230769232,-3.7699999999999987,32,398.3200000000002,30635279.985794075,18.955946673025224,6.867587015618814,3.030217978176012,184.95736426907462,10.251419095166806,0.3901329579529353,10.251419095166806,0.14955328572644153,0.19103210080024913,0.14955328572644153,-0.6290211507580943,-0.3901329579529353,4.822100000000004,126.17119999999998,421.5040000000001,3,6,1,0,1,2,3,5,6,2,6,0,3,1,0,1,158,10.84019487200289,22.852895988299675,0.0,0.0,0.0,0.0,4.400694606261793,14.951935562841626,0.0,0.0,48.53093654769288,31.898114582465862,34.82472038724633,16.81167952344841,6,5.106527394840706,22.237488427532348,0.0,19.352630169103417,0.0,31.28433730268772,5.733667477162185,78.88176232584219,0.0,22.514758973090913,5.733667477162185,5.817862777835028,0.0,0.0,30.06020837492781,0.0,0.0,31.50769098970396,73.05735782784225,0.0,38.93438462278823,0.0,89.33,2.0234033026790965,0.0,14.213970152954518,11.319295290640405,11.132610189829725,1.5522760340688941,20.498538560940638,4.972754948662028,1.8704848535580303,0.0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.43583730620675604
Crizotinib,1.5835351944627225,1051.8711432560124,21.250347897697548,16.408362043444242,17.92021993548115,14.435560745775547,9.745538647870463,10.501467593888917,7.314510887094133,8.099675486843966,5.2891176239094335,6.00284342486635,3.630212803948583,4.308163107034083,11.921187228794198,4.39041504767482,0.0,10.840496091576355,22.377437467870188,37.05805904107116,12.13273413692322,19.18694783976531,17.075490078371338,15.399448933254575,33.67241021142726,449.1185439040001,1.2333333333333334,2.0,2.7666666666666666,0.3333333333333333,-2.3499999999999996,30,428.1690000000002,8625144.75915495,20.903961875513946,8.79486192847442,4.237011144043404,183.6966025835966,13.8824765872402,0.4820245905177427,13.8824765872402,0.1656916893305656,0.06858024817391861,0.1656916893305656,-0.6273036682533442,-0.4820245905177427,5.037700000000004,116.47410000000002,450.3450000000002,3,6,0,1,1,1,2,3,6,2,9,0,5,0,1,1,158,15.787319034968565,11.921187228794198,11.567374611118932,0.0,0.0,0.0,4.681802935145185,9.374393568622029,5.098681808301038,0.0,23.20187978046503,51.05399446275261,34.10667493205847,17.261317714502365,4,9.127278001474869,29.01974255830006,0.0,20.08125186839976,0.0,31.911187662438905,18.823180288987334,58.215570880449604,0.0,16.876414816677897,15.787319034968565,10.208277825509848,5.749511833283905,23.20187978046503,27.853976076218583,0.0,5.817220841045895,37.4746391541359,36.78963192022406,10.045266627482652,11.126902983393991,0.0,77.99,21.859025199045394,12.31391825775382,4.252061917359536,8.128774823632309,8.120164783267226,0.0302748119094971,4.848648078269265,6.95852900930971,3.7108253416754637,0.0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5330554587335657
Tozasertib,1.3466040076453332,1119.7450047719242,22.785881803630286,18.836657129874183,19.653153710801906,16.013173026295988,11.220984138460665,12.03748071938839,8.635443346177276,9.676120383870348,5.760582689109852,6.633598848151386,3.634938780060626,4.401087541476048,0.0,4.794537184071822,0.0,11.8250857755129,10.974299259655735,66.93319217022217,11.761884949391115,0.0,43.321939610460284,37.67843226899288,9.967957041894417,464.21067851600003,1.0606060606060606,1.8181818181818181,2.484848484848485,0.391304347826087,-3.11,33,436.3750000000003,61462440.921374634,21.720902244699992,9.40165901420201,5.634264073709728,196.9239321338231,11.989515299025024,0.3538504003611028,11.989515299025024,0.22698329829314262,0.11382709612674113,0.22698329829314262,0.11382709612674113,-0.3538504003611028,3.5032200000000016,130.26810000000003,464.59900000000033,3,9,1,1,2,1,2,3,8,3,10,0,7,1,1,2,172,20.433396669713616,11.635725555670057,10.974299259655735,5.907179729351506,0.0,0.0,9.893218992372859,9.967957041894417,5.098681808301038,0.0,0.0,62.84040565145739,60.5064635517847,0.0,5,4.794537184071822,40.810039286931264,0.0,25.06523038934697,5.917906046161393,29.817300402881123,48.760184545190626,42.09213040561812,0.0,0.0,15.53348693886314,23.140974608188646,0.0,11.761884949391115,64.19910772502595,4.794537184071822,12.841643245852017,18.53557124070048,46.45012236810814,0.0,0.0,0.0,102.07,0.0,1.5022444780381286,27.190171224775696,14.15438450822969,1.7999309621692625,2.6426656799007016,11.762581410623577,1.9900142093847097,5.816908790066738,2.1410987368114913,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,5,3,0,0,1,0,1,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4568163085513304
