cell,drug1_db,drug2_db,synergy
OCUB-M,Docetaxel,Temozolomide,0
DiFi,Olaparib,SB216763,0
SUIT-2,Cisplatin,Oxaliplatin,0
HCC2157,5-Fluorouracil,Bortezomib,0
HCC1937,PD173074,Doramapimod,0
SNU-175,Sapitinib,MK-2206,0
BT-20,Navitoclax,AZD7762,0
ZR-75-30,Docetaxel,GSK269962A,0
CAL-85-1,Linsitinib,Sapitinib,1
HCC1569,Trametinib,AZD6482,0
HCC1569,Taselisib,Bortezomib,0
HCC1954,OSI-027,Camptothecin,0
AU565,OSI-027,Sapitinib,0
LoVo,Vinorelbine,Linsitinib,0
BT-20,Gemcitabine,Lapatinib,0
HCC1569,Cisplatin,AZD6482,0
HCC1428,Sapitinib,AZD8055,0
HT-29,Vinorelbine,LGK974,0
T84,Afatinib,Sapitinib,0
BT-20,Olaparib,JQ1,0
PA-TU-8988T,Lapatinib,Olaparib,0
YAPC,LGK974,Galunisertib,0
CFPAC-1,SCH772984,Dactolisib,0
ZR-75-1,Palbociclib,PD173074,0
CCK-81,AZD8055,Trametinib,0
HCC1569,Temozolomide,Vorinostat,0
EFM-192A,Bortezomib,Linsitinib,0
T84,Olaparib,SB216763,0
SW1463,Dabrafenib,Palbociclib,0
SK-CO-1,Trametinib,AZD7762,0
LoVo,SB505124,Olaparib,0
MDA-MB-415,Gemcitabine,Lapatinib,0
PSN1,Sorafenib,LGK974,1
PSN1,Galunisertib,Linsitinib,0
HDQ-P1,Gemcitabine,Entinostat,1
SNU-407,LGK974,Linsitinib,0
MIA-PaCa-2,Sorafenib,AZD7762,0
BT-20,Trametinib,Entinostat,0
MFM-223,Pictilisib,Alpelisib,0
MCF7,PD173074,Gemcitabine,0
EFM-19,Pictilisib,AZD7762,0
LS-123,Palbociclib,AZD4547,0
SW948,Palbociclib,Linsitinib,0
COLO-824,Lapatinib,Docetaxel,0
LS-411N,Trametinib,SB216763,0
KP-4,Trametinib,Dactolisib,0
AU565,Sapitinib,RO-3306,0
MDA-MB-175-VII,MK-2206,Temozolomide,0
GP5d,Trametinib,Dabrafenib,0
MDA-MB-415,Pictilisib,Taselisib,0
MDA-MB-436,Linsitinib,Dabrafenib,0
MCF7,Lapatinib,Sapitinib,0
EFM-192A,Gemcitabine,Linsitinib,0
CaR-1,Olaparib,SB216763,0
BT-20,Cisplatin,Bortezomib,0
MDA-MB-415,Lapatinib,GSK269962A,0
CCK-81,Dabrafenib,AZD7762,0
CAPAN-2,Gemcitabine,Palbociclib,0
HDQ-P1,Luminespib,MK-2206,0
BT-474,Vorinostat,GSK269962A,0
BT-483,MK-1775,JQ1,0
KP-3,OSI-027,Paclitaxel,0
HCC38,Vorinostat,Alisertib,0
T47D,Sapitinib,MK-1775,0
JIMT-1,Docetaxel,Sapitinib,0
ZR-75-30,Cisplatin,Temozolomide,0
CW-2,SB216763,Oxaliplatin,0
KP-1N,MK-2206,Erlotinib,0
MDA-MB-361,Trametinib,OSI-027,0
SK-CO-1,Camptothecin,Olaparib,1
HCC1806,Bortezomib,Cisplatin,0
MCF7,Temozolomide,BI-2536,0
HCC1806,MK-1775,5-Fluorouracil,0
MDST8,Trametinib,Sapitinib,0
SW48,MK-2206,Taselisib,0
HuP-T4,Taselisib,Lapatinib,0
HCC1395,5-Fluorouracil,Docetaxel,0
COLO-824,Lapatinib,MK-1775,0
SW620,Linsitinib,Dabrafenib,0
MDST8,Afatinib,BMS-754807,0
MDA-MB-415,MK-1775,AZD7762,0
SNU-C5,Camptothecin,Vinorelbine,0
CAL-85-1,Bortezomib,Palbociclib,0
Hs-766T,Trametinib,OSI-027,0
BT-474,Olaparib,Alisertib,0
MDA-MB-175-VII,Docetaxel,Luminespib,0
HCC1599,5-Fluorouracil,PD173074,0
MDA-MB-468,OSI-027,Gemcitabine,0
NCI-H716,Sapitinib,Dabrafenib,0
ZR-75-30,5-Fluorouracil,Gemcitabine,0
EFM-19,OSI-027,Tozasertib,0
MDA-MB-175-VII,PD173074,Venetoclax,0
MDA-MB-231,OSI-027,Vorinostat,0
MDA-MB-415,Axitinib,Cisplatin,0
SNU-175,Linsitinib,Dabrafenib,0
CAL-148,Temozolomide,Linsitinib,0
PANC-04-03,Dasatinib,Gemcitabine,0
PANC-10-05,Galunisertib,Olaparib,0
PANC-04-03,Paclitaxel,Erlotinib,0
KP-2,Galunisertib,Ruxolitinib,0
PANC-04-03,Irinotecan,SCH772984,0
SW837,SB216763,AZD8055,0
HCC1187,Docetaxel,Sapitinib,0
KP-2,MK-2206,Linsitinib,0
MDA-MB-175-VII,MK-1775,Docetaxel,0
MDA-MB-330,Temozolomide,Olaparib,0
SNU-175,Taselisib,Vinorelbine,0
HT55,SB505124,Vinorelbine,0
MCF7,Vorinostat,KU-55933,0
MCF7,Palbociclib,Wee1 Inhibitor,0
PA-TU-8902,MK-2206,Erlotinib,0
PANC-10-05,LGK974,Ruxolitinib,0
CAL-51,MK-1775,Linsitinib,0
OCUB-M,Linsitinib,Bortezomib,0
HT-115,AZD4547,SCH772984,1
CAL-51,Temozolomide,Doramapimod,0
HCC1428,MK-2206,Tozasertib,0
MDA-MB-330,Palbociclib,Bortezomib,0
HCC38,Crizotinib,AZD8055,0
MDA-MB-361,Trametinib,Sapitinib,0
HCC1937,Docetaxel,Sapitinib,0
CAL-120,Trametinib,Dabrafenib,0
HuP-T3,Gemcitabine,Taselisib,0
SW1990,Trametinib,AZD7762,0
MDST8,LGK974,Trametinib,0
HCC1599,Vorinostat,Axitinib,0
BxPC-3,Galunisertib,Navitoclax,0
